id,n_ccr
CA1000393,4
CA1000416,1
CA1000418,4
CA1000439,4
CA1000442,4
CA1000443,4
CA1000453,4
CA1000454,4
CA1000457,4
CA1000460,4
CA1000462,4
CA1000468,1
CA1000474,4
CA1000478,4
CA1000482,4
CA1000487,4
CA1000488,4
CA1000492,4
CA1000495,2
CA1000497,4
CA1000502,4
CA1000508,4
CA1000511,4
CA1000513,4
CA1000515,4
CA1000517,3
CA1000520,4
CA1000524,4
CA1000525,4
CA1000528,4
CA1000529,4
CA1000537,4
CA1000540,4
CA1000545,3
CA1000549,4
CA1000552,4
CA1000553,2
CA1000557,4
CA1000560,4
CA1000568,4
CA1000573,4
CA1000574,4
CA1000579,4
CA1000585,1
CA1000586,1
CA1000587,4
CA1000589,4
CA1000590,4
CA1000591,4
CA1000592,4
CA1000599,4
CA1000600,4
CA1000601,4
CA1000608,4
CA1000609,4
CA1000611,4
CA1000614,4
CA1000620,4
CA1000621,4
CA1000625,4
CA1000626,4
CA1000629,4
CA1000630,4
CA1000634,4
CA1000635,4
CA1000637,4
CA1000644,4
CA1000667,4
CA1000677,4
CA1000678,4
CA1000679,4
CA1010060,4
CA1100203,3
CA1100237,3
CA1100254,1
CA1100413,3
CA1100436,3
CA1100444,2
CA1100445,2
CA1100711,3
CA1110001,2
CA1200500,4
CA1200501,4
CA1200509,4
CA1200518,1
CA1200522,4
CA1200538,3
CA1200541,3
CA1200544,3
CA1200546,4
CA1200547,4
CA1200553,1
CA1200566,1
CA1200579,3
CA1200587,4
CA1200592,2
CA1200597,4
CA1200600,4
CA1200637,3
CA1200648,4
CA1200681,4
CA1200684,3
CA1200689,4
CA1200704,4
CA1200705,4
CA1200706,2
CA1200707,2
CA1200710,4
CA1200718,1
CA1200728,4
CA1200729,1
CA1200733,4
CA1200751,4
CA1200754,4
CA1200772,2
CA1200773,4
CA1200776,4
CA1200778,1
CA1200793,4
CA1200798,4
CA1200817,2
CA1200831,4
CA1206002,4
CA1206004,1
CA1206011,4
CA1206012,3
CA1206013,4
CA1210008,4
CA1210010,1
CA1210011,1
CA1210019,1
CA1210023,3
CA1210024,2
CA1210307,4
CA1210308,4
CA1210312,4
CA1210314,4
CA1210319,4
CA1210320,4
CA1210321,4
CA1210322,4
CA1210324,4
CA1210800,1
CA1210801,1
CA1300018,1
CA1300513,2
