"","pwsid","population_served_count_echo","service_connections_count_echo","pws_type_code_echo","gw_sw_code_echo","primary_source_code_echo","carceral_sys","count_of_viols_over5yrs_health","count_of_viols_over5yrs_mon","binary_viol_over5yrs_health","binary_viol_over5yrs_mon"
"1121","CA1910086",9500,2035,"CWS","SW","SWP","other_water_systems",0,0,0,0
"1122","CA1910087",0,309,"CWS","SW","SW","other_water_systems",0,0,0,0
"1123","CA1910090",37931,9425,"CWS","GW","GW","carceral_serving_water_system",0,1,0,1
"1124","CA1910091",26554,3956,"CWS","GW","GW","carceral_serving_water_system",0,1,0,1
"1125","CA1910092",62183,13616,"CWS","GW","GW","carceral_serving_water_system",0,0,0,0
"1126","CA1910096",17498,3981,"CWS","SW","SWP","other_water_systems",0,0,0,0
"1127","CA1910097",6409,41,"NTNCWS","GW","GW","other_water_systems",0,2,0,1
"1128","CA1910098",43133,9397,"CWS","SW","SWP","other_water_systems",0,0,0,0
"1129","CA1910099",360,95,"CWS","GW","GW","other_water_systems",0,0,0,0
"1130","CA1910101",25000,4345,"CWS","GW","GWP","other_water_systems",0,1,0,1
"1131","CA1910102",126804,27257,"CWS","SW","SW","other_water_systems",0,0,0,0
"1132","CA1910103",5507,1713,"CWS","SW","SWP","other_water_systems",0,0,0,0
"1133","CA1910104",71202,24413,"CWS","SW","SWP","other_water_systems",0,0,0,0
"1134","CA1910105",55200,7537,"CWS","SW","SWP","other_water_systems",0,1,0,1
"1135","CA1910108",11305,1653,"CWS","SW","SWP","other_water_systems",0,0,0,0
"1136","CA1910117",7250,1502,"CWS","SW","SWP","other_water_systems",0,2,0,1
"1137","CA1910124",161162,38338,"CWS","SW","SWP","carceral_serving_water_system",0,0,0,0
"1138","CA1910125",22051,5281,"CWS","GW","GW","other_water_systems",0,21,0,1
"1139","CA1910126",151713,30172,"CWS","SW","SW","carceral_serving_water_system",0,0,0,0
"1140","CA1910127",33300,8707,"CWS","SW","SWP","carceral_serving_water_system",0,0,0,0
"1141","CA1910128",0,12,"CWS","SW","SW","other_water_systems",0,0,0,0
"1142","CA1910130",19100,5842,"CWS","SW","SWP","other_water_systems",0,0,0,0
"1143","CA1910134",96708,26800,"CWS","SW","SWP","carceral_serving_water_system",0,0,0,0
"1144","CA1910137",60,9,"NTNCWS","GW","GW","other_water_systems",0,0,0,0
"1145","CA1910138",156,5,"NTNCWS","GW","GW","other_water_systems",0,0,0,0
"1146","CA1910139",47124,14280,"CWS","SW","SWP","other_water_systems",0,0,0,0
"1147","CA1910140",9600,3136,"CWS","SW","SW","other_water_systems",0,0,0,0
"1148","CA1910142",56512,16168,"CWS","SW","SWP","carceral_serving_water_system",0,0,0,0
"1149","CA1910143",23946,5380,"CWS","GW","GW","other_water_systems",0,0,0,0
"1150","CA1910144",39345,9530,"CWS","GW","GW","other_water_systems",0,0,0,0
"1151","CA1910146",89947,16887,"CWS","SW","SWP","carceral_serving_water_system",0,0,0,0
"1152","CA1910147",4339,1315,"CWS","SW","SWP","other_water_systems",0,0,0,0
"1153","CA1910148",11000,3797,"CWS","SW","SWP","other_water_systems",0,0,0,0
"1154","CA1910149",11795,3035,"CWS","SW","SWP","carceral_serving_water_system",1,1,1,1
"1155","CA1910152",76443,14414,"CWS","SW","SWP","carceral_serving_water_system",0,0,0,0
"1156","CA1910153",15021,2351,"CWS","GW","GW","other_water_systems",0,1,0,1
"1157","CA1910154",25329,6131,"CWS","SW","SWP","other_water_systems",0,0,0,0
"1158","CA1910155",277856,52612,"CWS","SW","SWP","other_water_systems",0,0,0,0
"1159","CA1910156",40856,10455,"CWS","SW","SWP","carceral_serving_water_system",0,2,0,1
"1160","CA1910157",25252,6326,"CWS","GW","GW","other_water_systems",0,0,0,0
"1161","CA1910158",548,201,"CWS","GW","GW","other_water_systems",0,2,0,1
"1162","CA1910159",14000,1190,"CWS","GW","GW","other_water_systems",0,31,0,1
"1163","CA1910160",3132,949,"CWS","GW","GW","other_water_systems",0,0,0,0
"1164","CA1910161",24416,4379,"CWS","SW","SWP","other_water_systems",0,0,0,0
"1165","CA1910163",7775,1682,"CWS","SW","SWP","other_water_systems",0,0,0,0
"1166","CA1910165",4613,1398,"CWS","GW","GW","other_water_systems",0,2,0,1
"1167","CA1910166",10070,3610,"CWS","SW","SWP","other_water_systems",0,0,0,0
"1168","CA1910167",28112,1032,"CWS","SW","SWP","carceral_serving_water_system",0,0,0,0
"1169","CA1910169",16180,2832,"CWS","GW","GW","other_water_systems",0,0,0,0
"1170","CA1910173",49954,12001,"CWS","GW","GW","carceral_serving_water_system",0,0,0,0
"1171","CA1910174",66045,18056,"CWS","GW","GW","other_water_systems",0,0,0,0
"1172","CA1910179",104535,25690,"CWS","SW","SWP","carceral_serving_water_system",0,4,0,1
"1173","CA1910185",6250,1570,"CWS","SW","SWP","other_water_systems",0,0,0,0
"1174","CA1910186",24258,7351,"CWS","GW","GW","other_water_systems",0,0,0,0
"1175","CA1910189",9300,1570,"CWS","GW","GWP","other_water_systems",0,0,0,0
"1176","CA1910191",17790,5398,"CWS","SW","SWP","other_water_systems",0,0,0,0
"1177","CA1910194",54660,13514,"CWS","SW","SWP","other_water_systems",0,0,0,0
"1178","CA1910195",8073,1672,"CWS","GW","GW","other_water_systems",0,0,0,0
"1179","CA1910199",0,21,"CWS","GW","GW","other_water_systems",0,0,0,0
"1180","CA1910200",1437,496,"CWS","SW","SWP","other_water_systems",0,0,0,0
"1181","CA1910203",11243,2977,"CWS","SW","SWP","other_water_systems",0,0,0,0
"1182","CA1910204",32792,8065,"CWS","SW","SWP","other_water_systems",0,0,0,0
"1183","CA1910205",168843,40233,"CWS","SW","SWP","carceral_serving_water_system",0,1,0,1
"1184","CA1910211",71786,16534,"CWS","SW","SWP","other_water_systems",0,0,0,0
"1185","CA1910212",26803,7606,"CWS","GW","GW","other_water_systems",0,0,0,0
"1186","CA1910213",106183,26916,"CWS","SW","SWP","carceral_serving_water_system",0,0,0,0
"1187","CA1910218",5447,2002,"CWS","SW","SWP","other_water_systems",0,0,0,0
"1188","CA1910223",26074,5020,"CWS","SW","SWP","other_water_systems",0,0,0,0
"1189","CA1910225",72602,20162,"CWS","SW","SW","carceral_serving_water_system",0,0,0,0
"1190","CA1910234",100941,27149,"CWS","SW","SWP","other_water_systems",0,0,0,0
"1191","CA1910238",500,7,"NTNCWS","GW","GW","other_water_systems",0,0,0,0
"1192","CA1910239",63083,20027,"CWS","GW","GW","other_water_systems",0,0,0,0
"1193","CA1910240",108813,32473,"CWS","SW","SW","carceral_serving_water_system",0,0,0,0
"1194","CA1910241",1601,710,"CWS","SW","SWP","other_water_systems",0,0,0,0
"1195","CA1910242",961,211,"CWS","GW","GW","other_water_systems",0,0,0,0
"1196","CA1910243",908,431,"CWS","SW","SWP","other_water_systems",0,0,0,0
"1197","CA1910244",1275,499,"CWS","GW","GW","other_water_systems",0,0,0,0
"1198","CA1910245",19219,6165,"CWS","SW","SWP","other_water_systems",0,0,0,0
"1199","CA1910246",2800,548,"CWS","GW","GW","other_water_systems",6,8,1,1
"1200","CA1910247",9999,1941,"CWS","SW","SWP","other_water_systems",0,0,0,0
"1201","CA1910248",4929,1456,"CWS","SW","SWP","other_water_systems",0,0,0,0
"1202","CA1910249",1508,457,"CWS","SW","SWP","other_water_systems",0,1,0,1
"1203","CA1910250",15998,2802,"CWS","SW","SWP","other_water_systems",0,0,0,0
"1204","CA1910254",534,12,"NTNCWS","GW","GW","other_water_systems",1,10,1,1
"1205","CA1910255",6499,1225,"CWS","SW","SWP","other_water_systems",0,0,0,0
"1206","CA1910443",65,7,"NTNCWS","SW","SW","other_water_systems",0,0,0,0
"1207","CA1910801",100,1,"CWS","GW","GW","carceral_water_system",0,0,0,0
"1208","CA2000202",551,9,"NTNCWS","GW","GW","other_water_systems",0,0,0,0
"1209","CA2000206",736,6,"NTNCWS","GW","GW","other_water_systems",0,0,0,0
"1210","CA2000275",2500,17,"NTNCWS","GW","GW","other_water_systems",0,1,0,1
"1211","CA2000293",300,90,"CWS","GW","GW","other_water_systems",0,0,0,0
"1212","CA2000352",145,5,"NTNCWS","GW","GW","other_water_systems",0,0,0,0
"1213","CA2000370",2100,14,"NTNCWS","GW","GW","other_water_systems",0,0,0,0
"1214","CA2000384",72,4,"NTNCWS","GW","GW","other_water_systems",0,0,0,0
"1215","CA2000501",42,28,"CWS","GW","GW","other_water_systems",2,0,1,0
"1216","CA2000502",250,90,"CWS","GW","GW","other_water_systems",0,1,0,1
"1217","CA2000504",162,15,"NTNCWS","GW","GW","other_water_systems",0,0,0,0
"1218","CA2000506",200,89,"CWS","GW","GW","other_water_systems",7,0,1,0
"1219","CA2000507",244,7,"NTNCWS","GW","GW","other_water_systems",0,1,0,1
"1220","CA2000509",137,120,"CWS","GW","GW","other_water_systems",0,0,0,0
"1221","CA2000511",45,20,"CWS","GW","GW","other_water_systems",0,0,0,0
"1222","CA2000512",250,85,"CWS","GW","GW","other_water_systems",0,2,0,1
"1223","CA2000521",498,178,"CWS","GW","GWP","other_water_systems",0,0,0,0
"1224","CA2000524",175,64,"CWS","GW","GW","other_water_systems",1,0,1,0
"1225","CA2000526",74,20,"CWS","GW","GW","other_water_systems",5,2,1,1
"1226","CA2000527",110,99,"CWS","GW","GW","other_water_systems",5,0,1,0
"1227","CA2000529",50,23,"CWS","GW","GW","other_water_systems",0,1,0,1
"1228","CA2000530",80,26,"CWS","GW","GW","other_water_systems",0,0,0,0
"1229","CA2000533",120,58,"CWS","GW","GW","other_water_systems",0,0,0,0
"1230","CA2000534",45,24,"CWS","GW","GW","other_water_systems",2,1,1,1
"1231","CA2000538",137,67,"CWS","GW","GW","other_water_systems",4,0,1,0
"1232","CA2000544",162,49,"CWS","SW","SW","other_water_systems",9,0,1,0
"1233","CA2000549",239,27,"CWS","GW","GW","other_water_systems",1,0,1,0
"1234","CA2000551",200,83,"CWS","GW","GW","other_water_systems",2,0,1,0
"1235","CA2000552",150,66,"CWS","GW","GW","other_water_systems",5,0,1,0
"1236","CA2000553",48,17,"CWS","GW","GW","other_water_systems",0,0,0,0
"1237","CA2000554",568,164,"CWS","GW","GW","other_water_systems",0,0,0,0
"1238","CA2000557",100,26,"CWS","GW","GW","other_water_systems",0,0,0,0
"1239","CA2000558",115,5,"NTNCWS","GW","GW","other_water_systems",0,0,0,0
"1240","CA2000561",264,75,"CWS","GW","GW","other_water_systems",5,1,1,1
"1241","CA2000573",40,21,"CWS","GW","GW","other_water_systems",0,0,0,0
"1242","CA2000589",30,33,"CWS","GW","GW","other_water_systems",0,2,0,1
"1243","CA2000592",35,15,"CWS","GW","GW","other_water_systems",5,1,1,1
"1244","CA2000593",138,116,"CWS","GW","GW","other_water_systems",0,0,0,0
"1245","CA2000595",450,99,"CWS","GW","GW","other_water_systems",0,43,0,1
"1246","CA2000597",253,8,"NTNCWS","GW","GW","other_water_systems",0,0,0,0
"1247","CA2000598",177,1,"NTNCWS","GW","GW","other_water_systems",0,0,0,0
"1248","CA2000600",618,7,"NTNCWS","GW","GW","other_water_systems",0,0,0,0
"1249","CA2000601",267,7,"NTNCWS","GW","GW","other_water_systems",0,0,0,0
"1250","CA2000602",66,4,"NTNCWS","GW","GW","other_water_systems",0,0,0,0
"1251","CA2000605",38,30,"CWS","GW","GW","other_water_systems",0,0,0,0
"1252","CA2000607",150,10,"NTNCWS","GW","GW","other_water_systems",0,0,0,0
"1253","CA2000608",106,68,"CWS","GW","GW","other_water_systems",0,0,0,0
"1254","CA2000611",441,11,"NTNCWS","GW","GW","other_water_systems",0,0,0,0
"1255","CA2000612",500,18,"NTNCWS","GW","GW","other_water_systems",3,3,1,1
"1256","CA2000616",354,5,"NTNCWS","GW","GW","other_water_systems",0,0,0,0
