id,year,status
CA0300024,2021,downloaded
CA0300024,2022,downloaded
CA0300024,2023,downloaded
CA0300028,2020,missing
CA0300028,2021,missing
CA0300028,2022,missing
CA0300028,2023,missing
CA0300032,2020,missing
CA0300032,2021,missing
CA0300032,2022,missing
CA0300032,2023,missing
CA0300033,2020,missing
CA0300033,2021,missing
CA0300033,2022,missing
CA0300033,2023,missing
CA0300034,2020,missing
CA0300034,2021,missing
CA0300034,2022,missing
CA0300034,2023,missing
CA0300036,2020,missing
CA0300036,2021,missing
CA0300036,2022,missing
CA0300036,2023,missing
CA0300037,2020,missing
CA0300037,2021,downloaded
CA0300037,2022,downloaded
CA0300037,2023,downloaded
CA0300043,2020,missing
CA0300043,2021,missing
CA0300043,2022,missing
CA0300043,2023,missing
CA0300048,2020,missing
CA0300048,2021,missing
CA0300048,2022,missing
CA0300048,2023,missing
CA0300049,2020,missing
CA0300049,2021,missing
CA0300049,2022,missing
CA0300049,2023,missing
CA0300051,2020,missing
CA0300051,2021,missing
CA0300051,2022,missing
CA0300051,2023,missing
CA0300052,2020,missing
CA0300052,2021,missing
CA0300052,2022,missing
CA0300052,2023,missing
CA0300053,2020,downloaded
CA0300053,2021,downloaded
CA0300053,2022,downloaded
CA0300053,2023,downloaded
CA0300062,2020,missing
CA0300062,2021,downloaded
CA0300062,2022,downloaded
CA0300062,2023,downloaded
CA0300070,2020,missing
CA0300070,2021,missing
CA0300070,2022,missing
CA0300070,2023,missing
CA0300077,2020,missing
CA0300077,2021,missing
CA0300077,2022,missing
CA0300077,2023,missing
CA0300078,2020,missing
CA0300078,2021,missing
CA0300078,2022,missing
CA0300078,2023,downloaded
CA0300081,2020,missing
CA0300081,2021,missing
CA0300081,2022,missing
CA0300081,2023,missing
CA0300085,2020,missing
CA0300085,2021,missing
CA0300085,2022,missing
CA0300085,2023,missing
CA0300086,2020,missing
CA0300086,2021,missing
CA0300086,2022,missing
CA0300086,2023,missing
CA0300087,2020,missing
CA0300087,2021,missing
CA0300087,2022,missing
CA0300087,2023,missing
CA0300088,2020,missing
CA0300088,2021,missing
CA0300088,2022,missing
CA0300088,2023,missing
CA0300089,2020,missing
CA0300089,2021,missing
CA0300089,2022,missing
CA0300089,2023,missing
CA0300090,2020,missing
CA0300090,2021,missing
CA0300090,2022,missing
CA0300090,2023,missing
CA0300448,2020,missing
CA0300448,2021,downloaded
CA0300448,2022,downloaded
CA0300448,2023,downloaded
CA0300524,2020,missing
CA0300524,2021,missing
CA0300524,2022,missing
CA0300524,2023,missing
CA0300667,2020,missing
CA0300667,2021,missing
CA0300667,2022,missing
CA0300667,2023,missing
CA0301038,2020,downloaded
