id,n_ccr
CA1210012,4
CA1210013,4
CA1210015,4
CA1210016,4
CA1210017,4
CA1210018,4
CA1210019,3
CA1210020,4
CA1210021,4
CA1210022,4
CA1210023,1
CA1210024,2
CA1210800,3
CA1210801,3
CA1300009,4
CA1300018,3
CA1300513,2
CA1300514,2
CA1300517,2
CA1300546,3
CA1300549,3
CA1300550,4
CA1300553,2
CA1300554,2
CA1300555,3
CA1300556,2
CA1300560,1
CA1300571,4
CA1300572,2
CA1300575,4
CA1300579,4
CA1300588,3
CA1300616,2
CA1300620,2
CA1300622,2
CA1300626,2
CA1300628,2
CA1300629,3
CA1300635,4
CA1300637,4
CA1300638,4
CA1300643,4
CA1300644,2
CA1300652,3
CA1300661,2
CA1300664,2
CA1300668,2
CA1300669,2
CA1310001,3
CA1310002,4
CA1310003,4
CA1310004,4
CA1310005,4
CA1310006,4
CA1310007,4
CA1310008,4
CA1310013,3
CA1310700,4
CA1310800,4
CA1310801,4
CA1400002,4
CA1400004,3
CA1400005,4
CA1400006,3
CA1400007,3
CA1400010,4
CA1400019,4
CA1400020,3
CA1400025,4
CA1400026,4
CA1400027,3
CA1400030,4
CA1400031,4
CA1400034,4
CA1400036,3
CA1400037,4
CA1400045,4
CA1400055,3
CA1400056,4
CA1400059,3
CA1400064,4
CA1400066,4
CA1400068,4
CA1400070,4
CA1400072,2
CA1400078,4
CA1400098,4
CA1400099,4
CA1400109,4
CA1400110,4
CA1400111,4
CA1400135,4
CA1400144,4
CA1400155,4
CA1400503,4
CA1400511,4
CA1400518,4
CA1400522,4
CA1400525,4
CA1400526,4
CA1400527,4
CA1400528,3
CA1410001,4
CA1410005,3
CA1410006,4
CA1410007,3
CA1410008,4
CA1410009,4
CA1410502,4
CA1410503,4
CA1410505,4
CA1410800,4
CA1500050,4
CA1500096,4
CA1500152,4
CA1500209,4
CA1500211,4
CA1500216,4
CA1500231,4
CA1500251,4
CA1500252,3
CA1500289,3
CA1500290,4
CA1500296,4
