"","SABL_PWSID","NN.x","NN_distance_meters.x","NN_distance_miles_largeurban","Remote_largeurban","NN.y","NN_distance_meters.y","NN_distance_miles","Remote"
"1","CA1100445",5,23953.8808090747,14.884288471718,"Yes",91,0,0,"No"
"2","CA3200054",5,65248.9569021344,40.5439229138246,"Yes",138,45069.7096470738,28.0050888234145,"Yes"
"3","CA5201140",28,25069.3720781297,15.5774243342797,"Yes",105,0,0,"No"
"4","CA3710047",32,36568.4079060739,22.7226116955236,"Yes",169,32223.0301483382,20.0225124264221,"Yes"
"5","CA4400692",53,260.160860220428,0.161656865684335,"No",156,260.160860220428,0.161656865684335,"No"
"6","CA0800649",28,165918.021901163,103.096935328248,"Yes",27,22367.6772203269,13.8986648068941,"Yes"
"7","CA0800608",28,169984.511899098,105.623741346824,"Yes",27,18488.1653613766,11.4880419062327,"Yes"
"8","CA2010800",19,8642.91792268144,5.37047356225623,"Yes",18,3343.53656303832,2.07758246426381,"No"
"9","CA1400504",27,94721.7411605329,58.857507525155,"Yes",161,93714.4999591464,58.231635303383,"Yes"
"10","CA4901206",40,1441.85911338647,0.895931943148414,"No",126,1441.85911338647,0.895931943148414,"No"
"11","CA2702180",31,1284.80530679878,0.798342989547752,"No",115,1284.80530679878,0.798342989547752,"No"
"12","CA3710037",32,11.4458183000287,0.00711211944028529,"No",116,11.4458183000287,0.00711211944028529,"No"
"13","CA0202562",30,100154.979239561,62.2335735391905,"Yes",136,48353.4459396118,30.0455130299451,"Yes"
"14","CA2702229",31,1087.00240568495,0.675433659565381,"No",16,526.833003345932,0.327359665046498,"No"
"15","CA0310005",30,34007.3429270705,21.1312357407822,"Yes",64,10040.949974416,6.23917256416665,"Yes"
"16","CA1210007",28,151912.909634206,94.3945403918412,"Yes",46,7166.18073498758,4.45286933462636,"No"
"17","CA1400506",11,98973.4271858292,61.4993893060691,"Yes",10,14403.665752426,8.95004520637405,"Yes"
"18","CA1200793",28,146337.479765045,90.930120276042,"Yes",2,2041.79833696193,1.26871782032506,"No"
"19","CA0810303",28,184069.416998888,114.375717374134,"Yes",27,3724.10392731022,2.31405664888105,"No"
"20","CA1400037",27,94511.7305703256,58.7270126699924,"Yes",161,93480.916223129,58.086492738097,"Yes"
"21","CA3700041",32,17707.4077475621,11.0029004110767,"Yes",116,17707.4077475621,11.0029004110767,"Yes"
"22","CA3900927",22,652.48902129681,0.405438888797153,"No",177,0,0,"No"
"23","CA1000003",11,57575.2185583079,35.7756711187865,"Yes",78,41817.6976997948,25.9843772601158,"Yes"
"24","CA1400088",51,161239.971397075,100.190122284337,"Yes",45,69475.672265048,43.170288605918,"Yes"
"25","CA5800814",55,41759.7241046335,25.948354048637,"Yes",51,15138.7103662719,9.40678188963915,"Yes"
"26","CA5200534",5,53981.6881234166,33.5427492782237,"Yes",26,29614.3844378835,18.4015711023671,"Yes"
"27","CA4400711",38,5325.54684361195,3.3091496163719,"No",123,5325.54684361195,3.3091496163719,"No"
"28","CA2300606",40,62169.3293008014,38.630326283322,"Yes",149,1303.71820609324,0.810094949540335,"No"
"29","CA4901287",40,2945.95410505863,1.83053556430501,"No",126,2945.95410505863,1.83053556430501,"No"
"30","CA2810007",23,4236.3785052938,2.63237010531883,"No",86,4236.3785052938,2.63237010531883,"No"
"31","CA5800823",55,36062.5493646672,22.408284989292,"Yes",51,17399.1021367679,10.811327709973,"Yes"
"32","CA4400526",34,2196.279727214,1.36470834454746,"No",119,2196.279727214,1.36470834454746,"No"
"33","CA2700970",41,33616.988160049,20.8886799309338,"Yes",52,15811.5711090656,9.82487921077313,"Yes"
"34","CA3700900",32,21820.5940081551,13.5587222141717,"Yes",178,16513.7917345563,10.2612199625662,"Yes"
"35","CA4901336",40,109.232218459611,0.067873922514578,"No",126,109.232218459611,0.067873922514578,"No"
"36","CA4900981",40,1477.73837451231,0.918226337823153,"No",126,1477.73837451231,0.918226337823153,"No"
"37","CA1500485",25,7219.3451579125,4.48590425759162,"No",111,0,0,"No"
"38","CA4400717",38,770.031192334192,0.478476389286411,"No",123,770.031192334192,0.478476389286411,"No"
"39","CA4400774",53,97.2411114032457,0.0604229755075035,"No",156,97.2411114032457,0.0604229755075035,"No"
"40","CA4400823",53,335.710302857729,0.208601229608242,"No",156,335.710302857729,0.208601229608242,"No"
"41","CA4400851",53,5495.49592008299,3.41475133910982,"No",156,5495.49592008299,3.41475133910982,"No"
"42","CA4400764",53,4023.37793153876,2.50001735589668,"No",156,4023.37793153876,2.50001735589668,"No"
"43","CA1000097",11,4678.88088399778,2.90732901934817,"No",47,4678.88088399778,2.90732901934817,"No"
"44","CA4000851",35,3780.71300163224,2.34923198431173,"No",120,3780.71300163224,2.34923198431173,"No"
"45","CA3600087",51,5769.00494539641,3.58470239066724,"No",28,0,0,"No"
"46","CA4500038",28,20170.5286667026,12.5334165973024,"Yes",106,20170.5286667026,12.5334165973024,"Yes"
"47","CA5000071",22,17430.6459584081,10.8309281807499,"Yes",180,7048.67107338332,4.37985203461253,"No"
"48","CA5700712",54,22588.3197406998,14.0357660535995,"Yes",162,22588.3197406998,14.0357660535995,"Yes"
"49","CA5700554",54,27734.7422232972,17.2336126755671,"Yes",162,27734.7422232972,17.2336126755671,"Yes"
"50","CA4901384",40,2147.25348598468,1.33424477486714,"No",167,0,0,"No"
"51","CA5400744",52,25990.202891038,16.149603496488,"Yes",161,16410.3385151818,10.1969369525282,"Yes"
"52","CA2700541",31,583.978716287854,0.362868453085025,"No",16,0,0,"No"
"53","CA1510702",25,27320.7712515108,16.9763823999346,"Yes",111,22863.3026453315,14.2066329335824,"Yes"
"54","CA4000653",35,11264.7794048018,6.99962680651805,"Yes",84,121.819829445435,0.0756955208007228,"No"
"55","CA1800560",29,93426.5798730917,58.0527296115747,"Yes",138,3843.36085887343,2.38815965481093,"No"
