id,n_ccr_downloaded,n_ccr_missing
CA1910032,4,0
CA1910041,4,0
CA1910045,4,0
CA1910128,3,1
CA1910199,3,1
CA1910443,4,0
CA2000202,4,0
CA2000206,4,0
CA2000275,4,0
CA2000352,4,0
CA2000370,4,0
CA2000384,2,2
CA2000507,4,0
CA2000558,4,0
CA2000597,4,0
CA2000598,4,0
CA2000600,2,2
CA2000601,2,2
CA2000602,2,2
CA2000607,4,0
CA2000611,4,0
CA2000616,4,0
CA2000619,3,1
CA2000641,4,0
CA2000655,3,1
CA2000659,3,1
CA2000660,4,0
CA2000672,4,0
CA2000681,3,1
CA2000682,4,0
CA2000695,4,0
CA2000733,2,2
CA2000760,2,2
CA2000794,4,0
CA2000840,3,1
CA2000843,4,0
CA2000844,4,0
CA2000846,4,0
CA2000848,4,0
CA2000855,4,0
CA2000920,4,0
CA2000947,4,0
CA2000951,1,3
CA2000953,4,0
CA2000955,2,2
CA2000956,1,3
CA2000961,4,0
CA2204054,4,0
CA2210908,4,0
CA2210937,4,0
CA2300541,3,1
CA2300617,1,3
CA2300628,1,3
CA2300755,3,1
CA2300764,4,0
CA2300770,4,0
CA2300847,1,3
CA2400051,4,0
CA2400175,4,0
CA2400196,4,0
CA2400206,4,0
CA2400345,4,0
CA2400347,4,0
CA2400348,4,0
CA2410950,4,0
CA2600568,3,1
CA2600570,3,1
CA2700014,4,0
CA2700032,4,0
CA2700101,4,0
CA2700147,4,0
CA2700156,4,0
CA2700552,4,0
CA2700727,3,1
CA2700850,4,0
CA2701152,4,0
CA2701579,4,0
CA2701679,3,1
CA2701912,4,0
CA2701922,4,0
CA2702121,4,0
CA2702202,4,0
CA2702254,1,3
CA2702317,4,0
CA2702322,4,0
CA2702370,4,0
CA2702373,4,0
CA2702452,4,0
CA2702453,4,0
CA2702484,3,1
CA2702519,4,0
CA2702595,4,0
CA2702616,4,0
CA2702643,4,0
CA2702652,3,1
CA2702681,4,0
CA2702704,3,1
CA2702708,4,0
CA2702812,4,0
CA2702830,3,1
CA2704623,4,0
CA2706552,4,0
CA2708852,4,0
CA2800012,4,0
CA2800015,4,0
CA2800020,4,0
CA2800024,3,1
CA2800027,4,0
CA2800034,4,0
CA2800041,4,0
CA2800043,1,3
CA2800047,4,0
CA2800059,2,2
CA2800112,4,0
CA2800129,1,3
CA2800299,4,0
CA2800301,1,3
CA2800536,4,0
CA2800556,3,1
CA2800561,4,0
CA2800562,4,0
CA2800580,1,3
CA2800588,2,2
CA2800609,1,3
CA2800648,4,0
CA2800736,2,2
CA2800741,4,0
CA2800840,4,0
CA2800848,1,3
CA2800970,1,3
CA2801002,1,3
CA2801004,1,3
CA2801006,2,2
CA2801008,4,0
CA2801011,4,0
CA2801012,4,0
CA2801015,4,0
CA2801024,3,1
CA2801026,4,0
CA2801027,4,0
CA2801028,3,1
CA2801029,4,0
CA2801031,3,1
CA2801033,3,1
CA2801035,3,1
CA2801036,2,2
CA2801037,4,0
CA2801038,4,0
CA2801041,4,0
CA2801046,4,0
CA2801047,4,0
CA2801049,3,1
CA2801055,3,1
CA2801056,4,0
CA2801057,3,1
CA2801070,1,3
CA2801075,1,3
CA2801076,3,1
CA2801084,2,2
CA2801086,1,3
CA2801088,1,3
CA2803907,4,0
CA2803912,2,2
CA2900507,1,3
CA2900508,1,3
CA2900535,2,2
CA2900536,1,3
CA2900587,1,3
CA2900593,1,3
CA2900618,1,3
CA2900626,1,3
CA2901208,1,3
CA2904011,2,2
CA3000759,3,1
CA3000819,3,1
CA3010071,4,0
CA3010093,1,3
CA3010120,3,1
CA3100083,1,3
CA3100105,1,3
CA3103294,1,3
CA3104508,3,1
CA3105779,3,1
CA3106937,1,3
CA3107084,1,3
CA3107322,1,3
CA3107329,1,3
CA3200048,4,0
CA3200141,1,3
CA3200166,2,2
CA3301133,3,1
CA3301147,4,0
CA3301164,4,0
CA3301176,4,0
CA3301238,4,0
CA3301305,4,0
CA3301308,3,1
CA3301309,3,1
CA3301373,4,0
CA3301385,3,1
CA3301388,4,0
CA3301494,4,0
CA3301622,3,1
CA3301935,4,0
CA3301939,4,0
CA3301961,3,1
CA3301979,4,0
CA3303026,3,1
CA3303071,4,0
CA3303072,3,1
CA3303092,4,0
CA3303112,4,0
CA3310084,4,0
CA3400248,1,3
CA3400250,1,3
CA3400251,1,3
CA3400253,1,3
CA3400254,1,3
CA3400273,2,2
CA3400278,1,3
CA3400434,2,2
CA3400453,1,3
CA3400454,1,3
CA3400475,2,2
CA3410802,2,2
CA3500563,4,0
CA3500804,4,0
CA3500805,4,0
CA3500917,4,0
CA3500919,4,0
CA3500926,2,2
CA3500927,4,0
CA3500928,3,1
CA3510009,4,0
CA3600036,3,1
CA3600106,1,3
CA3600141,4,0
CA3600154,3,1
CA3600192,4,0
CA3600193,3,1
CA3600393,2,2
CA3600432,3,1
CA3600478,3,1
CA3600585,2,2
CA3600597,2,2
CA3600707,1,3
