id,n_ccr_downloaded,n_ccr_missing
CA0710008,4,0
CA0710009,4,0
CA0710800,4,0
CA0800532,1,3
CA0800548,1,3
CA0800552,2,2
CA0800555,1,3
CA0800556,1,3
CA0800557,2,2
CA0800605,1,3
CA0800700,3,1
CA0800800,2,2
CA0810001,3,1
CA0810002,2,2
CA0810800,2,2
CA0900102,4,0
CA0900111,4,0
CA0900112,4,0
CA0900210,4,0
CA0900300,4,0
CA0900304,4,0
CA0900308,4,0
CA0900309,4,0
CA0900404,4,0
CA0900410,4,0
CA0900422,4,0
CA0900529,4,0
CA0901217,4,0
CA0910001,4,0
CA0910002,1,3
CA0910003,3,1
CA0910006,3,1
CA0910007,2,2
CA0910012,2,2
CA0910013,2,2
CA0910015,2,2
CA0910017,4,0
CA0910018,4,0
CA0910019,3,1
CA1000004,4,0
CA1000005,4,0
CA1000018,4,0
CA1000019,4,0
CA1000021,4,0
CA1000023,4,0
CA1000039,4,0
CA1000040,4,0
CA1000041,4,0
CA1000042,4,0
CA1000053,4,0
CA1000056,4,0
CA1000057,4,0
CA1000060,4,0
CA1000061,4,0
CA1000063,4,0
CA1000069,4,0
CA1000075,3,1
CA1000078,4,0
CA1000104,4,0
CA1000105,4,0
CA1000111,4,0
CA1000136,4,0
CA1000148,4,0
CA1000176,4,0
CA1000177,4,0
CA1000178,4,0
CA1000180,4,0
CA1000181,4,0
CA1000182,4,0
CA1000184,4,0
CA1000185,4,0
CA1000186,4,0
CA1000187,4,0
CA1000189,4,0
CA1000190,4,0
CA1000192,4,0
CA1000193,4,0
CA1000194,4,0
CA1000196,4,0
CA1000198,4,0
CA1000199,4,0
CA1000200,4,0
CA1000201,4,0
CA1000204,4,0
CA1000206,4,0
CA1000208,4,0
CA1000213,4,0
CA1000214,4,0
CA1000217,4,0
CA1000221,4,0
CA1000229,4,0
CA1000238,4,0
CA1000244,4,0
CA1000247,4,0
CA1000257,4,0
CA1000259,4,0
CA1000260,4,0
CA1000265,4,0
CA1000267,4,0
CA1000277,1,3
CA1000280,4,0
CA1000295,4,0
CA1000298,4,0
CA1000299,4,0
CA1000315,4,0
CA1000316,4,0
CA1000324,4,0
CA1000345,4,0
CA1000359,4,0
CA1000361,4,0
CA1000362,4,0
CA1000366,4,0
CA1000367,4,0
CA1000369,4,0
CA1000377,3,1
CA1000378,4,0
CA1000381,4,0
CA1000383,4,0
CA1000405,4,0
CA1000411,4,0
CA1000416,3,1
CA1000424,4,0
CA1000426,4,0
CA1000430,4,0
CA1000440,4,0
CA1000447,4,0
CA1000459,4,0
CA1000461,4,0
CA1000467,4,0
CA1000468,3,1
CA1000471,4,0
CA1000472,4,0
CA1000473,4,0
CA1000476,4,0
CA1000480,4,0
CA1000484,4,0
CA1000485,4,0
CA1000486,4,0
CA1000490,4,0
CA1000495,2,2
CA1000514,4,0
CA1000517,1,3
CA1000526,4,0
CA1000533,4,0
CA1000534,4,0
CA1000541,4,0
CA1000545,1,3
CA1000546,4,0
CA1000548,4,0
CA1000550,4,0
CA1000551,4,0
CA1000553,2,2
CA1000554,4,0
CA1000555,4,0
CA1000562,4,0
CA1000564,4,0
CA1000565,4,0
CA1000566,4,0
CA1000570,4,0
CA1000575,4,0
CA1000576,4,0
CA1000578,4,0
CA1000580,4,0
CA1000583,4,0
CA1000584,4,0
CA1000585,3,1
CA1000586,3,1
CA1000593,4,0
CA1000602,4,0
CA1000607,4,0
CA1000627,4,0
CA1000639,4,0
CA1000641,4,0
CA1009020,4,0
CA1009023,4,0
CA1009027,4,0
CA1009028,4,0
CA1009039,4,0
CA1009051,4,0
CA1009078,4,0
CA1009111,4,0
CA1009120,4,0
CA1009179,4,0
CA1009214,4,0
CA1009222,4,0
CA1009232,4,0
CA1010001,4,0
CA1010003,4,0
CA1010004,4,0
CA1010005,4,0
CA1010006,4,0
CA1010007,4,0
CA1010013,4,0
CA1010017,4,0
CA1010018,4,0
CA1010019,4,0
CA1010020,4,0
CA1010021,4,0
CA1010023,4,0
CA1010024,4,0
CA1010025,4,0
CA1010026,4,0
CA1010027,4,0
CA1010028,4,0
CA1010029,4,0
CA1010030,4,0
CA1010034,4,0
CA1010035,4,0
CA1010039,4,0
CA1010042,4,0
CA1010044,4,0
CA1010049,4,0
CA1010051,4,0
CA1010052,4,0
CA1010053,4,0
CA1010055,4,0
CA1010057,4,0
CA1010062,4,0
CA1010339,4,0
CA1010501,4,0
CA1010800,4,0
CA1100203,1,3
CA1100237,1,3
CA1100254,3,1
CA1100404,4,0
CA1100413,1,3
CA1100436,1,3
CA1100444,2,2
CA1100445,2,2
