pwsid,population,service_connections,state_classification,activity_status_cd,regulating_agency,carceral_sys,count_of_viols_over5yrs_mcl,count_of_viols_over5yrs_mon,binary_viol_over5yrs_mcl,binary_viol_over5yrs_mon
CA1400026,90,40,COMMUNITY,A ,DISTRICT 27 - MOJAVE,non_carceral,0,0,0,0
CA1400027,132,38,COMMUNITY,A ,DISTRICT 13 - SAN BERNARDINO,non_carceral,0,2,0,1
CA1400030,468,167,COMMUNITY,A ,DISTRICT 13 - SAN BERNARDINO,non_carceral,0,0,0,0
CA1400031,65,27,COMMUNITY,A ,DISTRICT 13 - SAN BERNARDINO,non_carceral,0,0,0,0
CA1400034,175,36,COMMUNITY,A ,DISTRICT 27 - MOJAVE,non_carceral,0,1,0,1
CA1400035,35,1,TRANSIENT NON-COMMUNITY,A ,DISTRICT 13 - SAN BERNARDINO,non_carceral,0,0,0,0
CA1400036,66,87,COMMUNITY,A ,DISTRICT 27 - MOJAVE,non_carceral,1,2,1,1
CA1400037,49,48,COMMUNITY,A ,DISTRICT 27 - MOJAVE,non_carceral,2,0,1,0
CA1400040,39,45,TRANSIENT NON-COMMUNITY,A ,DISTRICT 27 - MOJAVE,non_carceral,0,2,0,1
CA1400044,218,9,TRANSIENT NON-COMMUNITY,A ,DISTRICT 27 - MOJAVE,non_carceral,0,1,0,1
CA1400045,73,26,COMMUNITY,A ,DISTRICT 13 - SAN BERNARDINO,non_carceral,0,0,0,0
CA1400047,500,21,TRANSIENT NON-COMMUNITY,A ,DISTRICT 27 - MOJAVE,non_carceral,0,3,0,1
CA1400049,500,24,TRANSIENT NON-COMMUNITY,A ,DISTRICT 13 - SAN BERNARDINO,non_carceral,0,0,0,0
CA1400055,80,6,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 13 - SAN BERNARDINO,non_carceral,0,3,0,1
CA1400056,59,21,COMMUNITY,A ,DISTRICT 27 - MOJAVE,non_carceral,0,0,0,0
CA1400059,126,45,COMMUNITY,A ,DISTRICT 27 - MOJAVE,non_carceral,0,0,0,0
CA1400064,178,15,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 13 - SAN BERNARDINO,non_carceral,0,1,0,1
CA1400066,60,94,COMMUNITY,A ,DISTRICT 13 - SAN BERNARDINO,non_carceral,0,0,0,0
CA1400067,55,11,TRANSIENT NON-COMMUNITY,A ,DISTRICT 13 - SAN BERNARDINO,non_carceral,0,1,0,1
CA1400068,40,13,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 27 - MOJAVE,non_carceral,0,1,0,1
CA1400069,201,6,TRANSIENT NON-COMMUNITY,A ,DISTRICT 27 - MOJAVE,non_carceral,0,1,0,1
CA1400070,138,49,COMMUNITY,A ,DISTRICT 27 - MOJAVE,non_carceral,0,0,0,0
CA1400072,70,33,COMMUNITY,A ,DISTRICT 13 - SAN BERNARDINO,non_carceral,0,1,0,1
CA1400078,35,16,COMMUNITY,A ,DISTRICT 13 - SAN BERNARDINO,non_carceral,0,0,0,0
CA1400088,58,72,TRANSIENT NON-COMMUNITY,A ,DISTRICT 13 - SAN BERNARDINO,non_carceral,0,0,0,0
CA1400098,40,63,COMMUNITY,A ,DISTRICT 13 - SAN BERNARDINO,non_carceral,0,1,0,1
CA1400099,320,24,COMMUNITY,A ,DISTRICT 13 - SAN BERNARDINO,non_carceral,0,0,0,0
CA1400102,0,2,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 13 - SAN BERNARDINO,non_carceral,0,0,0,0
CA1400109,42,16,COMMUNITY,A ,DISTRICT 27 - MOJAVE,non_carceral,0,0,0,0
CA1400110,188,67,COMMUNITY,A ,DISTRICT 13 - SAN BERNARDINO,non_carceral,0,0,0,0
CA1400111,764,284,COMMUNITY,A ,DISTRICT 13 - SAN BERNARDINO,non_carceral,0,0,0,0
CA1400135,158,48,COMMUNITY,A ,DISTRICT 13 - SAN BERNARDINO,non_carceral,0,0,0,0
CA1400136,104,36,TRANSIENT NON-COMMUNITY,A ,DISTRICT 27 - MOJAVE,non_carceral,0,5,0,1
CA1400144,73,26,COMMUNITY,A ,DISTRICT 13 - SAN BERNARDINO,non_carceral,0,0,0,0
CA1400155,32,12,COMMUNITY,A ,DISTRICT 13 - SAN BERNARDINO,non_carceral,0,3,0,1
CA1400181,300,21,TRANSIENT NON-COMMUNITY,A ,DISTRICT 13 - SAN BERNARDINO,non_carceral,0,0,0,0
CA1400182,318,21,TRANSIENT NON-COMMUNITY,A ,DISTRICT 27 - MOJAVE,non_carceral,0,0,0,0
CA1400183,75,17,TRANSIENT NON-COMMUNITY,A ,DISTRICT 27 - MOJAVE,non_carceral,0,2,0,1
CA1400184,300,21,TRANSIENT NON-COMMUNITY,A ,DISTRICT 13 - SAN BERNARDINO,non_carceral,0,2,0,1
CA1400185,100,11,TRANSIENT NON-COMMUNITY,A ,DISTRICT 13 - SAN BERNARDINO,non_carceral,0,1,0,1
CA1400193,30,4,TRANSIENT NON-COMMUNITY,A ,DISTRICT 27 - MOJAVE,non_carceral,0,0,0,0
CA1400195,500,36,TRANSIENT NON-COMMUNITY,A ,DISTRICT 13 - SAN BERNARDINO,non_carceral,0,1,0,1
CA1400500,150,1,TRANSIENT NON-COMMUNITY,A ,DISTRICT 13 - SAN BERNARDINO,non_carceral,0,1,0,1
CA1400503,30,6,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 13 - SAN BERNARDINO,non_carceral,0,0,0,0
CA1400504,66,20,TRANSIENT NON-COMMUNITY,A ,DISTRICT 13 - SAN BERNARDINO,non_carceral,0,1,0,1
CA1400505,51,21,TRANSIENT NON-COMMUNITY,A ,DISTRICT 13 - SAN BERNARDINO,non_carceral,0,1,0,1
CA1400506,200,49,TRANSIENT NON-COMMUNITY,A ,DISTRICT 13 - SAN BERNARDINO,non_carceral,0,0,0,0
CA1400511,22,16,COMMUNITY,A ,DISTRICT 13 - SAN BERNARDINO,non_carceral,0,1,0,1
CA1400518,25,15,COMMUNITY,A ,DISTRICT 13 - SAN BERNARDINO,non_carceral,0,0,0,0
CA1400522,37,7,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 27 - MOJAVE,non_carceral,0,0,0,0
CA1400524,50,11,TRANSIENT NON-COMMUNITY,A ,DISTRICT 13 - SAN BERNARDINO,non_carceral,0,0,0,0
CA1400525,65,15,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 27 - MOJAVE,non_carceral,0,0,0,0
CA1400526,290,1,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 27 - MOJAVE,non_carceral,1,0,1,0
CA1400527,66,3,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 13 - SAN BERNARDINO,non_carceral,0,2,0,1
CA1400528,115,3,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 13 - SAN BERNARDINO,non_carceral,0,1,0,1
CA1400529,100,10,TRANSIENT NON-COMMUNITY,A ,DISTRICT 13 - SAN BERNARDINO,non_carceral,0,0,0,0
CA1400531,57,4,TRANSIENT NON-COMMUNITY,A ,DISTRICT 13 - SAN BERNARDINO,non_carceral,0,0,0,0
CA1400535,4568,1,TRANSIENT NON-COMMUNITY,A ,DISTRICT 27 - MOJAVE,non_carceral,0,0,0,0
CA1410001,3819,1171,COMMUNITY,A ,DISTRICT 27 - MOJAVE,non_carceral,0,0,0,0
CA1410005,1030,297,COMMUNITY,A ,DISTRICT 13 - SAN BERNARDINO,non_carceral,0,0,0,0
CA1410006,792,323,COMMUNITY,A ,DISTRICT 27 - MOJAVE,non_carceral,0,0,0,0
CA1410007,1400,603,COMMUNITY,A ,DISTRICT 13 - SAN BERNARDINO,non_carceral,0,0,0,0
CA1410008,1108,336,COMMUNITY,A ,DISTRICT 27 - MOJAVE,nonexclusive_carceral,0,6,0,1
CA1410009,1835,503,COMMUNITY,A ,DISTRICT 27 - MOJAVE,non_carceral,0,7,0,1
CA1410502,175,14,COMMUNITY,A ,DISTRICT 13 - SAN BERNARDINO,non_carceral,0,1,0,1
CA1410503,88,61,COMMUNITY,A ,DISTRICT 13 - SAN BERNARDINO,non_carceral,0,1,0,1
CA1410505,150,150,COMMUNITY,A ,DISTRICT 13 - SAN BERNARDINO,non_carceral,0,0,0,0
CA1410800,94,37,COMMUNITY,A ,DISTRICT 13 - SAN BERNARDINO,exclusive_carceral,0,0,0,0
CA1410801,43,6,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 13 - SAN BERNARDINO,non_carceral,0,0,0,0
CA1500050,115,1,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1500096,130,19,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,1,0,1
CA1500152,26,12,COMMUNITY,A ,DISTRICT 12 - VISALIA,non_carceral,0,0,0,0
CA1500209,143,224,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1500211,433,141,COMMUNITY,A ,DISTRICT 12 - VISALIA,non_carceral,0,0,0,0
CA1500216,33,11,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1500231,849,173,COMMUNITY,A ,DISTRICT 12 - VISALIA,non_carceral,0,2,0,1
CA1500251,272,145,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1500252,132,47,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,3,0,1
CA1500289,150,55,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,1,0,1
CA1500290,270,198,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,2,0,1
CA1500296,545,165,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,2,0,1
CA1500314,297,90,COMMUNITY,A ,DISTRICT 12 - VISALIA,non_carceral,0,0,0,0
CA1500324,92,34,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1500327,33,35,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1500333,167,82,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1500336,44,41,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1500340,150,36,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1500341,60,180,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1500344,32,13,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,1,5,1,1
CA1500349,200,81,COMMUNITY,A ,DISTRICT 12 - VISALIA,non_carceral,0,0,0,0
CA1500364,75,32,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,2,0,1
CA1500371,208,26,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1500374,122,46,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1500378,140,50,COMMUNITY,A ,DISTRICT 12 - VISALIA,non_carceral,0,1,0,1
CA1500393,238,85,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,10,0,1,0
CA1500396,25,25,TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1500398,32,32,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1500401,90,42,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,4,1,1,1
CA1500404,68,42,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1500405,87,49,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,4,0,1
CA1500406,632,219,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,3,2,1,1
CA1500407,226,159,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1500409,462,155,COMMUNITY,A ,DISTRICT 12 - VISALIA,non_carceral,4,0,1,0
CA1500413,132,33,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1500415,2207,16,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1500424,174,63,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,5,0,1,0
CA1500426,65,32,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,2,0,1,0
CA1500436,74,36,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,5,1,1,1
CA1500443,465,141,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,1,1,1,1
CA1500447,150,60,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1500448,36,47,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1500449,56,29,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1500452,750,290,COMMUNITY,A ,DISTRICT 12 - VISALIA,non_carceral,0,0,0,0
CA1500455,56,16,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,5,0,1,0
CA1500458,67,22,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,13,0,1,0
CA1500459,82,86,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1500464,280,68,TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,5,0,1,0
CA1500465,123,47,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,1,0,1,0
CA1500466,710,220,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1500475,504,179,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1500478,386,117,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1500481,877,287,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1500483,195,59,COMMUNITY,A ,DISTRICT 12 - VISALIA,non_carceral,0,0,0,0
CA1500485,60,28,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1500489,89,32,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1500491,2947,21,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 12 - VISALIA,non_carceral,0,0,0,0
CA1500493,200,80,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1500494,66,20,COMMUNITY,A ,DISTRICT 12 - VISALIA,non_carceral,4,0,1,0
CA1500495,1500,21,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 12 - VISALIA,non_carceral,0,0,0,0
CA1500507,105,32,COMMUNITY,A ,DISTRICT 12 - VISALIA,non_carceral,0,0,0,0
CA1500516,32,13,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1500518,38,2,COMMUNITY,A ,DISTRICT 12 - VISALIA,non_carceral,0,0,0,0
CA1500525,120,71,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,4,0,1,0
CA1500535,200,55,COMMUNITY,A ,DISTRICT 12 - VISALIA,non_carceral,0,0,0,0
CA1500540,112,39,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,1,0,1
CA1500542,275,104,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,4,0,1
CA1500543,50,16,COMMUNITY,A ,DISTRICT 12 - VISALIA,non_carceral,0,0,0,0
CA1500544,365,89,COMMUNITY,A ,DISTRICT 12 - VISALIA,non_carceral,0,0,0,0
CA1500546,138,49,COMMUNITY,A ,DISTRICT 12 - VISALIA,non_carceral,0,0,0,0
CA1500550,70,41,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,1,0,1
CA1500553,62,24,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1500554,87,28,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1500555,200,51,COMMUNITY,A ,DISTRICT 12 - VISALIA,non_carceral,0,0,0,0
CA1500556,56,28,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1500557,393,95,COMMUNITY,A ,DISTRICT 12 - VISALIA,non_carceral,0,0,0,0
CA1500560,42,15,COMMUNITY,A ,DISTRICT 12 - VISALIA,non_carceral,0,0,0,0
CA1500561,50,17,COMMUNITY,A ,DISTRICT 12 - VISALIA,non_carceral,4,0,1,0
CA1500563,198,60,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1500564,25,12,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1500566,26,13,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,2,0,1,0
CA1500569,97,50,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1500571,73,60,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,5,0,1,0
CA1500575,165,61,COMMUNITY,A ,DISTRICT 12 - VISALIA,non_carceral,4,0,1,0
CA1500578,122,64,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1500579,35,18,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,1,0,1
CA1500584,90,32,COMMUNITY,A ,DISTRICT 12 - VISALIA,non_carceral,1,0,1,0
CA1500585,100,39,COMMUNITY,A ,DISTRICT 12 - VISALIA,non_carceral,0,0,0,0
CA1500588,438,106,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,4,0,1,0
CA1500591,47,15,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1500593,80,20,COMMUNITY,A ,DISTRICT 12 - VISALIA,non_carceral,0,0,0,0
CA1500597,300,7,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1500599,44,18,COMMUNITY,A ,DISTRICT 12 - VISALIA,non_carceral,0,0,0,0
CA1500600,63,5,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1502012,47,8,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,3,0,1,0
CA1502034,200,14,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,1,2,1,1
CA1502042,238,6,TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,1,0,1
CA1502044,180,3,TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,1,0,1
CA1502056,90,20,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,1,0,1
CA1502066,65,1,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 12 - VISALIA,non_carceral,0,0,0,0
CA1502068,268,1,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,4,0,1,0
CA1502073,128,14,TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,1,0,1
CA1502074,550,1,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1502133,250,3,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 12 - VISALIA,non_carceral,1,0,1,0
CA1502134,106,2,TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,3,0,1
CA1502154,897,4,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 12 - VISALIA,non_carceral,0,2,0,1
CA1502164,54,55,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1502194,50,3,TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,4,0,1
CA1502213,49,4,TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1502223,5022,10,TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1502225,33,11,TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1502232,175,79,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,4,0,1,0
CA1502247,82,63,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,5,0,1,0
CA1502249,212,7,TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1502260,154,2,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1502277,34,4,TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1502315,110,23,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,exclusive_carceral,0,0,0,0
CA1502317,108,36,TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1502319,401,4,TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1502320,2800,110,COMMUNITY,A ,DISTRICT 12 - VISALIA,exclusive_carceral,0,0,0,0
CA1502323,273,3,TRANSIENT NON-COMMUNITY,A ,DISTRICT 12 - VISALIA,non_carceral,0,0,0,0
CA1502325,202,45,TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1502327,2507,3,TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1502383,32,16,COMMUNITY,A ,DISTRICT 12 - VISALIA,non_carceral,0,0,0,0
CA1502418,47,4,TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,1,0,1
CA1502422,3000,2,TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1502449,44,16,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,1,0,1,0
CA1502465,45,16,COMMUNITY,A ,DISTRICT 12 - VISALIA,non_carceral,0,0,0,0
CA1502524,301,5,TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1502545,27,8,COMMUNITY,A ,DISTRICT 12 - VISALIA,non_carceral,0,0,0,0
CA1502564,68,51,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1502569,35,13,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,5,0,1,0
CA1502572,30,5,TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1502595,120,1,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1502600,64,23,COMMUNITY,A ,DISTRICT 12 - VISALIA,non_carceral,0,0,0,0
CA1502607,75,5,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1502608,79,24,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1502619,28,14,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1502620,48,18,COMMUNITY,A ,DISTRICT 12 - VISALIA,non_carceral,0,0,0,0
CA1502622,50,15,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1502629,39,14,COMMUNITY,A ,DISTRICT 12 - VISALIA,non_carceral,0,0,0,0
CA1502645,32,16,COMMUNITY,A ,DISTRICT 12 - VISALIA,non_carceral,0,1,0,1
CA1502653,150,46,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1502659,45,18,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1502663,73,22,COMMUNITY,A ,DISTRICT 12 - VISALIA,non_carceral,0,0,0,0
CA1502667,80,3,TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1502670,240,80,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1502673,154,2,TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1502680,205,205,TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1502686,42,5,TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1502688,865,124,TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1502689,161,1,TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1502690,119,36,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1502695,60,2,TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1502699,35,14,COMMUNITY,A ,DISTRICT 12 - VISALIA,non_carceral,4,1,1,1
CA1502717,108,2,TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1502744,39,10,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,1,0,1,0
CA1502750,40,20,COMMUNITY,A ,DISTRICT 12 - VISALIA,non_carceral,0,0,0,0
CA1502753,469,1,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1502757,101,35,TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1503093,1200,39,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,3,0,1,0
CA1503105,204,12,TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1503140,516,1,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,3,0,1,0
CA1503182,175,3,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,1,0,1
CA1503226,192,77,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1503230,200,1,TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1503232,45,4,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1503243,100,4,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
CA1503270,500,142,COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,2,0,1
CA1503290,300,6,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0
