pwsid,population,service_connections,state_classification,activity_status_cd,regulating_agency,carceral_sys,count_of_viols_over5yrs_mcl,count_of_viols_over5yrs_mon,binary_viol_over5yrs_mcl,binary_viol_over5yrs_mon
CA0202557,25,1,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202562,25,1,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202564,25,1,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202565,25,1,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202566,25,1,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202599,35,1,NON-TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0210001,625,493,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,1,0,1,0
CA0210002,7851,867,COMMUNITY,A ,DISTRICT 09 - SACRAMENTO,non_carceral,0,1,0,1
CA0300007,100,18,TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,1,1,1,1
CA0300010,221,67,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0300011,40,20,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0300016,103,73,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,1,0,1
CA0300019,100,66,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,1,0,1,0
CA0300024,62,22,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0300028,87,5,TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0300032,500,23,TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,2,0,1
CA0300033,200,12,TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,1,0,1
CA0300034,125,23,TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,2,0,1
CA0300036,571,143,TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0300037,3553,566,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,1,0,1
CA0300043,25,8,TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,4,0,1
CA0300048,27,1,TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,2,0,1
CA0300049,28,28,TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,1,0,1,0
CA0300051,100,27,TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,2,0,1
CA0300052,38,1,TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0300053,44,28,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0300062,299,21,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0300070,54,54,TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,1,0,1
CA0300077,42,1,TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,4,0,1
CA0300078,40,12,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,1,0,1
CA0300081,100,3,TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0300085,25,6,TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,1,0,1
CA0300086,125,1,TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0300087,50,1,TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0300088,115,2,TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,1,3,1,1
CA0300089,95,5,TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0300090,26,1,TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0300448,25,9,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,3,0,1
CA0300524,150,2,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0300667,45,2,TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0301038,251,80,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0310001,5019,2211,COMMUNITY,A ,DISTRICT 10 - STOCKTON,nonexclusive_carceral,1,0,1,0
CA0310002,7227,2386,COMMUNITY,A ,DISTRICT 10 - STOCKTON,nonexclusive_carceral,1,0,1,0
CA0310003,4940,1758,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0310004,1060,535,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,1,0,1,0
CA0310005,1141,412,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0310006,574,230,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0310008,922,211,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0310011,838,337,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0310012,8791,2738,COMMUNITY,A ,DISTRICT 10 - STOCKTON,nonexclusive_carceral,0,0,0,0
CA0310018,230,82,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0310019,188,55,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0310021,2402,732,COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0310300,63,7,TRANSIENT NON-COMMUNITY,A ,DISTRICT 10 - STOCKTON,non_carceral,0,0,0,0
CA0400001,150,54,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400003,41,15,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400004,119,42,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400007,399,172,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,4,0,1
CA0400008,290,91,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400010,100,18,TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400012,460,135,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,2,0,1
CA0400013,90,97,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400014,297,123,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,1,0,1
CA0400016,28,8,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400019,76,35,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400020,327,88,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,3,0,1
CA0400021,20,20,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,1,5,1,1
CA0400023,75,25,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400026,50,26,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,2,0,1
CA0400027,180,127,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400030,275,101,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400040,253,184,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,1,0,1
CA0400042,28,17,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400051,220,80,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400060,25,3,NON-TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400062,63,4,NON-TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,2,0,1
CA0400063,295,3,NON-TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,1,0,1
CA0400067,34,2,NON-TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400068,61,2,NON-TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,1,0,1
CA0400070,18000,55,NON-TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400073,230,17,NON-TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,1,0,1
CA0400078,46,21,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,1,0,1,0
CA0400079,125,4,NON-TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400090,40,17,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,1,0,1
CA0400091,106,31,COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,0,0,0
CA0400093,80,14,TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,1,0,1
CA0400103,40,4,TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400105,8000,6,TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400106,26,29,TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400111,125,94,TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,2,0,1
CA0400117,25,21,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400120,325,3,TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,1,0,1
CA0400123,58,28,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400132,50,22,TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400133,240,8,NON-TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400137,85,6,TRANSIENT NON-COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,0,0,0
CA0400138,50,2,TRANSIENT NON-COMMUNITY,A ,DISTRICT 21 - VALLEY,non_carceral,0,0,0,0
CA0400143,30,1,TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400149,55,31,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400150,41,2,NON-TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400151,160,55,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400154,85,2,NON-TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400155,25,18,COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
CA0400160,25,6,TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,1,0,1
CA0400161,30,23,TRANSIENT NON-COMMUNITY,A ,LPA34 - BUTTE COUNTY,non_carceral,0,0,0,0
