PWS ID,PWS Name,Primacy Agency,PWS Type,Population Served Count,Service Connections Count,Primary Source,Primary Source Code,GW SW,GW SW Code
CA2710018,SEASIDE MUNICIPAL WATER SYSTEM,California,Community water system,"2,800",792,Ground water,GW,Groundwater,GW
CA3105886,ANTELOPE SPRINGS,California,Transient non-community system,250,1,Ground water,GW,Groundwater,GW
CA3600797,AERONAUTICAL SYSTEMS,California,Non-Transient non-community system,126,35,Ground water,GW,Groundwater,GW
CA3600193,PARK MOABI,California,Non-Transient non-community system,"64,267",103,Ground water,GW,Groundwater,GW
CA3600036,CALICO GHOST TOWN,California,Non-Transient non-community system,"24,728",158,Ground water,GW,Groundwater,GW
CA4100538,CAMP JONES GULCH,California,Community water system,357,65,Ground water,GW,Groundwater,GW
CA4901345,BUCKLEY FAMILY PARTNERSHIP,California,Non-Transient non-community system,30,1,Ground water,GW,Groundwater,GW
CA2702439,WOODLAND HEIGHTS MWC,California,Community water system,57,37,Ground water,GW,Groundwater,GW
CA2702475,FREE WILL BAPTIST CHURCH WS,California,Transient non-community system,80,2,Ground water,GW,Groundwater,GW
CA2701898,CLEAR RIDGE WA,California,Community water system,123,41,Groundwater under influence of surface water,GU,Surface water,SW
CA2702255,ALL SAINTS CAMPGROUND WS,California,Transient non-community system,27,2,Ground water,GW,Groundwater,GW
CA4500359,REEDS MARKET,California,Transient non-community system,100,1,Ground water,GW,Groundwater,GW
CA4910011,"SEBASTOPOL, CITY OF",California,Community water system,"7,522",2947,Ground water,GW,Groundwater,GW
CA3100079,SIERRA REACH MINISTRIES,California,Transient non-community system,80,2,Ground water,GW,Groundwater,GW
CA3301981,SHADOW HILLS RV RESORT,California,Transient non-community system,156,91,Ground water,GW,Groundwater,GW
CA4500294,USFS - SIMS CAMPGROUND,California,Transient non-community system,150,8,Ground water,GW,Groundwater,GW
CA0707577,RIVERVIEW WATER ASSOCIATION,California,Community water system,230,89,Ground water,GW,Groundwater,GW
CA1800547,WAYSIDE INN MARKET,California,Transient non-community system,30,1,Ground water,GW,Groundwater,GW
CA1910051,"INGLEWOOD- CITY, WATER DEPT.",California,Community water system,"80,824",15942,Surface water purchased,SWP,Surface water,SW
CA4300757,CHIRI SWEET WATER COMPANY,California,Community water system,40,11,Ground water,GW,Groundwater,GW
CA3400283,VALLEY HI COUNTRY CLUB,California,Transient non-community system,100,5,Ground water,GW,Groundwater,GW
CA3400478,TAQUERIA EL AHIJADO NELO,California,Transient non-community system,50,1,Ground water,GW,Groundwater,GW
CA4300573,GREEN ACRES MUTUAL WATER,California,Community water system,53,18,Ground water,GW,Groundwater,GW
CA5610011,CITY OF SANTA PAULA,California,Community water system,"31,018",8404,Ground water,GW,Groundwater,GW
CA0800632,KLAMATH RIVER RV PARK,California,Transient non-community system,51,2,Ground water,GW,Groundwater,GW
CA2900507,TAHOE TIMBER TRAILS,California,Non-Transient non-community system,254,559,Ground water,GW,Groundwater,GW
CA3601133,WAGON TRAIN ROAD LLC,California,Non-Transient non-community system,25,3,Ground water,GW,Groundwater,GW
CA1901000,GENERAL ATOMICS AERONAUTICAL - GRAY BUTT,California,Non-Transient non-community system,450,24,Ground water,GW,Groundwater,GW
CA0900564,KING'S IV CONDOMINIUMS,California,Transient non-community system,60,4,Ground water,GW,Groundwater,GW
CA4000825,"DAOU VINEYARDS, LLC",California,Non-Transient non-community system,"1,025",7,Ground water,GW,Groundwater,GW
CA1610005,"LEMOORE, CITY OF",California,Community water system,"27,185",7306,Ground water,GW,Groundwater,GW
CA3103218,COMMUNITY OF THE GREAT COMMISSION,California,Transient non-community system,200,2,Ground water,GW,Groundwater,GW
