PWS ID,PWS Name,Primacy Agency,PWS Type,Population Served Count,Service Connections Count,Primary Source,Primary Source Code,GW SW,GW SW Code
CA4910023,CALIFORNIA-AMERICAN LARKFIELD (PUC),California,Community water system,"7,702",2334,Ground water,GW,Groundwater,GW
CA4910024,CALIFORNIA-AMERICAN GEYSERVILLE (PUC),California,Community water system,"1,013",307,Ground water,GW,Groundwater,GW
CA5700712,CAL AM - DUNNIGAN,California,Community water system,602,175,Ground water,GW,Groundwater,GW
CA2010013,CAL AM - COARSEGOLD,California,Community water system,83,25,Ground water,GW,Groundwater,GW
CA2010014,CAL AM - GOLDSIDE,California,Community water system,"1,026",311,Ground water,GW,Groundwater,GW
CA2010007,CAL AM - OAKHURST,California,Community water system,"3,412",1034,Ground water,GW,Groundwater,GW
CA1000058,MUSICK CREEK TRACT ASSOCIATION,California,Transient non-community system,158,47,Ground water,GW,Groundwater,GW
CA4901388,"HEIRS OF MY DREAM WINERY, INC.",California,Transient non-community system,60,2,Ground water,GW,Groundwater,GW
CA4901234,SONOMA SEVENTH DAY ADVENTIST CHURCH,California,Transient non-community system,70,4,Ground water,GW,Groundwater,GW
CA5400778,SCICON,California,Transient non-community system,207,27,Ground water,GW,Groundwater,GW
CA5403153,CIRCLE J - NORRIS RANCH,California,Transient non-community system,25,1,Ground water,GW,Groundwater,GW
CA4901287,ROCHIOLI WINERY,California,Transient non-community system,26,4,Ground water,GW,Groundwater,GW
CA1200538,MYERS FLAT M.W.S. INC.,California,Community water system,330,93,Ground water,GW,Groundwater,GW
CA0810001,CITY OF CRESCENT CITY,California,Community water system,"17,170",3731,Ground water,GW,Groundwater,GW
CA2701183,SAN ANTONIO LAKE PARK NORTH WS,California,Transient non-community system,"1,002",221,Ground water,GW,Groundwater,GW
CA2700636,ROYAL OAKS PARK WS,California,Transient non-community system,25,4,Ground water,GW,Groundwater,GW
CA2701184,SAN ANTONIO LAKE PARK SOUTH WS,California,Transient non-community system,653,307,Surface water,SW,Surface water,SW
CA2702229,MANZANITA PARK WS,California,Transient non-community system,302,6,Ground water,GW,Groundwater,GW
CA3500570,B & R FARMS,California,Transient non-community system,34,14,Ground water,GW,Groundwater,GW
CA1500449,FOURTH STREET WATER SYSTEM,California,Community water system,56,29,Ground water,GW,Groundwater,GW
CA1200718,WADDINGTON W.W.,California,Community water system,75,25,Ground water,GW,Groundwater,GW
