,pwsid,health_5yr_count,health_5yr_count_no2ndary_mcl,health_5yr_count_no_2ndary_or_lsl,mr_5yr_count,mon_only_5yr_count,health_5yr_binary,health_5yr_no2ndary_mcl_binary,health_5yr_no2ndary_or_lsl_binary,mr_5yr_binary,mon_only_5yr_binary,pws_name,pws_type_code,gw_sw_code,primary_source_code,population_served_count,service_connections_count,carceral_sys
3629,CA4910013,0,0,0,0,0,0,0,0,0,0,VALLEY OF THE MOON WATER DISTRICT,CWS,GW,GW,23687,7048,other_water_systems
3630,CA4910014,0,0,0,2,2,0,0,0,1,1,"ROHNERT PARK, CITY OF",CWS,GW,GW,43693,10414,other_water_systems
3631,CA4910016,0,0,0,0,0,0,0,0,0,0,"COTATI, CITY OF",CWS,GW,GW,7360,2698,other_water_systems
3632,CA4910017,0,0,0,0,0,0,0,0,0,0,"WINDSOR, TOWN OF",CWS,GW,GW,25985,9081,carceral_serving_water_system
3633,CA4910018,0,0,0,0,0,0,0,0,0,0,ARMSTRONG VALLEY-CAL WATER SERVICE (PUC),CWS,GW,GW,475,280,other_water_systems
3634,CA4910019,0,0,0,5,0,0,0,0,1,0,FORESTVILLE WATER DISTRICT,CWS,GW,GWP,3291,1010,other_water_systems
3635,CA4910020,0,0,0,0,0,0,0,0,0,0,SONOMA COUNTY WATER AGENCY,CWS,GW,GW,0,165,other_water_systems
3636,CA4910021,0,0,0,0,0,0,0,0,0,0,BODEGA BAY PUBLIC UTILITY DISTRICT,CWS,GW,GW,1069,1153,other_water_systems
3637,CA4910022,0,0,0,0,0,0,0,0,0,0,CANON MANOR WATER SYSTEM,CWS,GW,GW,805,245,other_water_systems
3638,CA4910023,0,0,0,0,0,0,0,0,0,0,CALIFORNIA-AMERICAN LARKFIELD (PUC),CWS,GW,GW,7702,2334,other_water_systems
3639,CA4910024,0,0,0,0,0,0,0,0,0,0,CALIFORNIA-AMERICAN GEYSERVILLE (PUC),CWS,GW,GW,1013,307,other_water_systems
3640,CA4910025,0,0,0,0,0,0,0,0,0,0,KENWOOD VILLAGE WATER COMPANY (PUC),CWS,GW,GW,1013,309,other_water_systems
3641,CA4910026,0,0,0,0,0,0,0,0,0,0,ODD FELLOWS RECREATION CLUB,CWS,GW,GW,757,268,other_water_systems
3642,CA4910027,0,0,0,0,0,0,0,0,0,0,SONOMA STATE UNIVERSITY,CWS,GW,GW,10986,93,other_water_systems
3643,CA4910028,0,0,0,0,0,0,0,0,0,0,SWEETWATER SPRINGS CWD - MONTE RIO,CWS,GW,GW,3000,1081,other_water_systems
3644,CA4910029,0,0,0,0,0,0,0,0,0,0,CAMP MEEKER WATER SYSTEM,CWS,GW,GW,1171,356,other_water_systems
3645,CA4910701,1,1,0,6,0,1,1,0,1,0,U.S. COAST GUARD TRAINING CENTER,CWS,GW,GWP,1001,217,other_water_systems
3646,CA5000005,1,1,0,1,0,1,1,0,1,0,CROWS LANDING COMM SVC DISTRICT,CWS,GW,GW,500,138,other_water_systems
3647,CA5000008,0,0,0,0,0,0,0,0,0,0,KNIGHTS FERRY COMM. SVC. DIST.,CWS,SW,SW,168,67,other_water_systems
3648,CA5000010,0,0,0,0,0,0,0,0,0,0,TID/ LA GRANGE WATER SYSTEM,CWS,SW,SW,195,61,other_water_systems
3649,CA5000013,0,0,0,0,0,0,0,0,0,0,OID #45,CWS,GW,GW,144,51,other_water_systems
3650,CA5000014,0,0,0,4,0,0,0,0,1,0,OID #46 - SUNSET OAKS,CWS,GW,GW,269,79,other_water_systems
3651,CA5000015,0,0,0,0,0,0,0,0,0,0,OID #22 - WILLIAMS TRACT,CWS,GW,GW,150,53,other_water_systems
3652,CA5000016,0,0,0,0,0,0,0,0,0,0,OID #41 - MOUNTAIN VIEW,CWS,GW,GW,147,42,other_water_systems
3653,CA5000017,0,0,0,0,0,0,0,0,0,0,PARK HEIGHTS MUTUAL WATER CO,CWS,GW,GW,250,95,other_water_systems
3654,CA5000019,1,1,1,2,2,1,1,1,1,1,RIVERDALE PARK TRACT CSD,CWS,GW,GW,610,180,other_water_systems
3655,CA5000020,0,0,0,1,1,0,0,0,1,1,RIVER ROAD MUTUAL WATER COMPANY,CWS,GW,GW,26,8,other_water_systems
3656,CA5000033,30,30,30,0,0,1,1,1,0,0,COBLES CORNER,CWS,GW,GW,50,10,other_water_systems
3657,CA5000041,0,0,0,1,1,0,0,0,1,1,MAZE BLVD MOBILEHOME PARK,CWS,GW,GW,36,13,other_water_systems
3658,CA5000048,2,2,2,0,0,1,1,1,0,0,LAZY B MOBILEHOME PARK,CWS,GW,GW,125,49,other_water_systems
