,pwsid,health_5yr_count,health_5yr_count_no2ndary_mcl,health_5yr_count_no_2ndary_or_lsl,mr_5yr_count,mon_only_5yr_count,health_5yr_binary,health_5yr_no2ndary_mcl_binary,health_5yr_no2ndary_or_lsl_binary,mr_5yr_binary,mon_only_5yr_binary,pws_name,pws_type_code,gw_sw_code,primary_source_code,population_served_count,service_connections_count,carceral_sys
1,CA0103039,0,0,0,0,0,0,0,0,0,0,MOHRLAND MUTUAL WATER SYSTEM,CWS,SW,SWP,116,99,other_water_systems
2,CA0103040,1,1,0,1,0,1,1,0,1,0,NORRIS CANYON PROPERTY OWNERS ASSN,CWS,GW,GW,50,19,other_water_systems
3,CA0103041,0,0,0,0,0,0,0,0,0,0,TRAILER HAVEN MOBILE HOME PARK,CWS,SW,SWP,459,191,other_water_systems
4,CA0105008,1,1,0,1,0,1,1,0,1,0,CASTLEWOOD DOMESTIC WATER SYSTEM,CWS,GW,GWP,524,207,other_water_systems
5,CA0105009,0,0,0,0,0,0,0,0,0,0,MOUNTAIN HOUSE SCHOOL,NTNCWS,SW,SWP,50,1,other_water_systems
6,CA0105020,1,1,0,1,0,1,1,0,1,0,ALAMEDA COUNTY FAIRGROUNDS,NTNCWS,GW,GW,82,33,other_water_systems
7,CA0110001,1,0,0,0,0,1,0,0,0,0,ALAMEDA COUNTY WATER DISTRICT,CWS,SW,SW,344000,86959,carceral_serving_water_system
8,CA0110003,0,0,0,0,0,0,0,0,0,0,CALIFORNIA WATER SERVICE - LIVERMORE,CWS,SW,SWP,60414,18595,other_water_systems
9,CA0110005,0,0,0,0,0,0,0,0,0,0,EAST BAY MUD,CWS,SW,SW,1442800,392875,carceral_serving_water_system
10,CA0110006,0,0,0,0,0,0,0,0,0,0,CITY OF HAYWARD,CWS,SW,SWP,162954,36838,carceral_serving_water_system
11,CA0110008,0,0,0,0,0,0,0,0,0,0,CITY OF PLEASANTON,CWS,SW,SWP,76689,22334,other_water_systems
12,CA0110009,0,0,0,0,0,0,0,0,0,0,DUBLIN SAN RAMON SERVICES DISTRICT,CWS,SW,SWP,98776,25458,carceral_serving_water_system
13,CA0110010,0,0,0,0,0,0,0,0,0,0,ZONE 7 WATER AGENCY,CWS,SW,SW,40,12,other_water_systems
14,CA0110011,0,0,0,0,0,0,0,0,0,0,CITY OF LIVERMORE,CWS,SW,SWP,38892,9958,other_water_systems
15,CA0110012,0,0,0,0,0,0,0,0,0,0,TOWN OF SUNOL - SFPUC,CWS,SW,SWP,281,102,other_water_systems
16,CA0110016,0,0,0,0,0,0,0,0,0,0,ALAMEDA POINT,CWS,SW,SWP,1400,378,other_water_systems
17,CA0110018,0,0,0,0,0,0,0,0,0,0,SFPUC-PLEASANTON WELLS,CWS,GW,GW,1,1,other_water_systems
18,CA0110650,0,0,0,0,0,0,0,0,0,0,USBR-SLDMWA - CVP JONES PUMPING PLANT,NTNCWS,SW,SW,90,1,other_water_systems
19,CA0110701,0,0,0,0,0,0,0,0,0,0,LAWRENCE LIVERMORE NATIONAL LAB SITE 200,NTNCWS,SW,SWP,10870,2,other_water_systems
20,CA0202501,0,0,0,0,0,0,0,0,0,0,DIAMOND VALLEY SCHOOL,NTNCWS,GW,GW,100,5,other_water_systems
21,CA0202503,0,0,0,0,0,0,0,0,0,0,WOODFORDS MUTUAL WATER COMPANY,CWS,GW,GW,50,16,other_water_systems
22,CA0202504,0,0,0,6,6,0,0,0,1,1,MARKLEEVILLE WATER CO.,CWS,SW,SW,25,167,other_water_systems
23,CA0202522,1,1,0,1,0,1,1,0,1,0,SIERRA PINES MOBILE HOME PARK,CWS,GW,GW,70,32,other_water_systems
24,CA0202599,0,0,0,6,6,0,0,0,1,1,EARLY LEARNING CENTER,NTNCWS,GW,GW,35,1,other_water_systems
25,CA0205425,1,1,0,1,0,1,1,0,1,0,ALPINE CO COMMUNITY DEVELOPMENT,NTNCWS,GW,GW,30,10,other_water_systems
26,CA0210001,2,2,2,0,0,1,1,1,0,0,LAKE ALPINE WATER COMPANY,CWS,SW,SW,625,490,other_water_systems
27,CA0210002,1,0,0,1,1,1,0,0,1,1,KIRKWOOD MEADOWS PUBLIC UTILITY DISTRICT,CWS,GW,GW,7851,866,other_water_systems
28,CA0300010,0,0,0,1,1,0,0,0,1,1,DRYTOWN COUNTY WATER DISTRICT,CWS,SW,SWP,221,67,other_water_systems
29,CA0300011,0,0,0,0,0,0,0,0,0,0,SUTTER PINES MHP,CWS,SW,GU,40,20,other_water_systems
30,CA0300016,0,0,0,1,1,0,0,0,1,1,VOLCANO COMMUNITY SERVICE DIST,CWS,SW,GU,103,73,other_water_systems
31,CA0300019,1,1,1,2,1,1,1,1,1,1,FIDDLETOWN COMMUNITY SERVICE,CWS,GW,GW,100,66,other_water_systems
32,CA0300024,0,0,0,2,2,0,0,0,1,1,FOREST POINT MHC,CWS,GW,GW,62,22,other_water_systems
33,CA0300037,0,0,0,1,1,0,0,0,1,1,JACKSON VALLEY IRRIGATION DISTRICT,CWS,SW,SW,3553,355,other_water_systems
34,CA0300053,0,0,0,0,0,0,0,0,0,0,RANCHO DEL ORO MHP,CWS,GW,GW,44,27,other_water_systems
35,CA0300055,1,1,0,5,4,1,1,0,1,1,SUNSET WEST MUTUAL WATER COMPANY,NTNCWS,GW,GW,25,7,other_water_systems
36,CA0300062,0,0,0,1,0,0,0,0,1,0,HOPE FOUNDATION/MORIAH HEIGHTS,CWS,GW,GW,299,21,other_water_systems
37,CA0300073,0,0,0,0,0,0,0,0,0,0,AWA - TIGER CREEK POWERHOUSE,NTNCWS,SW,SW,32,9,other_water_systems
38,CA0300078,0,0,0,1,1,0,0,0,1,1,IONE BAND OF MIWOK INDIANS,CWS,GW,GW,40,12,other_water_systems
39,CA0300448,0,0,0,11,11,0,0,0,1,1,MALLO GOLD MINE PLAZA,NTNCWS,GW,GW,25,9,other_water_systems
40,CA0300524,0,0,0,0,0,0,0,0,0,0,"MP ASSOCIATES, INC.",NTNCWS,GW,GW,130,2,other_water_systems
41,CA0301038,0,0,0,0,0,0,0,0,0,0,PARDEE RECREATION AREA,NTNCWS,SW,SW,383,80,other_water_systems
42,CA0310001,1,1,1,0,0,1,1,1,0,0,CITY OF JACKSON,CWS,SW,SWP,5019,2208,carceral_serving_water_system
43,CA0310002,1,1,1,1,1,1,1,1,1,1,"AWA, IONE",CWS,SW,SW,7227,2342,carceral_serving_water_system
44,CA0310003,0,0,0,1,1,0,0,0,1,1,"AWA, TANNER",CWS,SW,SW,4940,1754,other_water_systems
45,CA0310004,1,1,1,0,0,1,1,1,0,0,"PLYMOUTH, CITY OF",CWS,SW,SWP,1060,534,other_water_systems
46,CA0310005,0,0,0,0,0,0,0,0,0,0,PINE GROVE COMM SERV DIST,CWS,SW,SWP,1141,410,other_water_systems
47,CA0310006,1,1,0,1,0,1,1,0,1,0,RIVER PINES PUD,CWS,GW,GW,574,230,other_water_systems
48,CA0310008,0,0,0,0,0,0,0,0,0,0,CAMANCHE NORTH SHORE INC.,CWS,GW,GW,1012,211,other_water_systems
49,CA0310011,1,1,0,1,0,1,1,0,1,0,FIRST MACE MEADOW # 1,CWS,SW,SWP,838,337,other_water_systems
50,CA0310012,0,0,0,0,0,0,0,0,0,0,AWA BUCKHORN PLANT,CWS,SW,SW,8791,2738,carceral_serving_water_system
51,CA0310018,0,0,0,0,0,0,0,0,0,0,FIRST MACE MEADOWS UNIT NO. 2,CWS,SW,SWP,230,82,other_water_systems
52,CA0310019,0,0,0,0,0,0,0,0,0,0,AWA LA MEL HEIGHTS #3,CWS,GW,GW,188,55,other_water_systems
53,CA0310021,0,0,0,0,0,0,0,0,0,0,AWA - CAMANCHE VILLAGE,CWS,GW,GW,2402,728,other_water_systems
54,CA0400001,0,0,0,0,0,0,0,0,0,0,YOUTH WITH A MISSION-SPRINGS OF LIVING W,CWS,GW,GW,150,54,other_water_systems
55,CA0400003,1,1,0,3,0,1,1,0,1,0,HARTLEY MUTUAL WATER SYSTEM,CWS,GW,GW,41,15,other_water_systems
56,CA0400004,1,1,0,1,0,1,1,0,1,0,FOREST RANCH MUTUAL WATER SYSTEM,CWS,GW,GW,119,42,other_water_systems
57,CA0400007,0,0,0,2,2,0,0,0,1,1,BUTTE CREEK ESTATES MUTUAL WATER CO,CWS,GW,GW,399,172,other_water_systems
58,CA0400008,0,0,0,0,0,0,0,0,0,0,GRAN MUTUAL WATER CO,CWS,GW,GW,290,91,other_water_systems
59,CA0400012,0,0,0,4,4,0,0,0,1,1,FARM LABOR HOUSING,CWS,GW,GW,460,135,other_water_systems
60,CA0400013,0,0,0,2,0,0,0,0,1,0,MERRY MOUNTAIN MUTUAL,CWS,GW,GW,90,97,other_water_systems
61,CA0400014,0,0,0,1,1,0,0,0,1,1,LAKE MADRONE WATER DISTRICT,CWS,GW,GW,297,123,other_water_systems
62,CA0400016,0,0,0,0,0,0,0,0,0,0,BERRY CREEK COMMUNITY SERVICE DIST,CWS,GW,GW,28,8,other_water_systems
63,CA0400019,0,0,0,2,1,0,0,0,1,1,OROVILLE MOBILE HOME PARK,CWS,GW,GW,76,35,other_water_systems
64,CA0400020,1,1,0,12,6,1,1,0,1,1,PLEASANT GROVE MHP,CWS,GW,GW,327,88,other_water_systems
65,CA0400021,2,2,1,19,17,1,1,1,1,1,ROBINSON'S CORNER MHP,CWS,GW,GW,20,20,other_water_systems
66,CA0400023,0,0,0,1,0,0,0,0,1,0,GOLDEN OAKS MOBILE HOME PARK,CWS,GW,GW,75,25,other_water_systems
67,CA0400026,1,1,0,3,1,1,1,0,1,1,MEADOWBROOK OAKS,CWS,GW,GW,50,26,other_water_systems
68,CA0400027,1,1,0,1,0,1,1,0,1,0,FOOTHILLS MANUFACTURED HOME COMMUNUTY,CWS,GW,GW,180,127,other_water_systems
69,CA0400030,0,0,0,0,0,0,0,0,0,0,GOLDEN FEATHER MHP,CWS,GW,GW,275,101,other_water_systems
70,CA0400040,1,1,0,2,1,1,1,0,1,1,ALMOND GROVE MOBILE PARK,CWS,GW,GW,253,184,other_water_systems
71,CA0400042,0,0,0,0,0,0,0,0,0,0,FOREST VILLAGE LLC,CWS,GW,GW,28,17,other_water_systems
72,CA0400051,0,0,0,0,0,0,0,0,0,0,DINGERVILLE USA PARK,CWS,GW,GW,220,80,other_water_systems
73,CA0400060,0,0,0,0,0,0,0,0,0,0,HONCUT ELEMENTARY SCHOOL,NTNCWS,GW,GW,25,3,other_water_systems
74,CA0400062,1,1,0,3,2,1,1,0,1,1,RICHVALE ELEMENTARY SCHOOL,NTNCWS,GW,GW,63,4,other_water_systems
75,CA0400063,1,1,0,2,1,1,1,0,1,1,MANZANITA ELEMENTARY SCHOOL,NTNCWS,GW,GW,295,3,other_water_systems
76,CA0400064,1,1,0,1,0,1,1,0,1,0,CONCOW ELEMENTARY SCHOOL,NTNCWS,GW,GW,115,11,other_water_systems
77,CA0400065,1,1,0,3,2,1,1,0,1,1,SPRING VALLEY SCHOOL,NTNCWS,GW,GW,70,1,other_water_systems
78,CA0400067,2,2,1,2,0,1,1,1,1,0,FEATHER RIVER SCHOOL,NTNCWS,GW,GW,34,2,other_water_systems
79,CA0400070,0,0,0,0,0,0,0,0,0,0,BUTTE-GLENN COMMUNITY COLLEGE DIST,NTNCWS,GW,GW,18000,55,other_water_systems
80,CA0400073,0,0,0,0,0,0,0,0,0,0,NORD COUNTRY SCHOOL,NTNCWS,GW,GW,230,17,other_water_systems
81,CA0400078,1,1,0,4,0,1,1,0,1,0,FOREST KNOLLS MUTUAL WATER CO,CWS,GW,GW,46,21,other_water_systems
82,CA0400079,1,1,0,1,0,1,1,0,1,0,FOREST RANCH CHARTER SCHOOL,NTNCWS,GW,GW,125,4,other_water_systems
83,CA0400090,1,1,0,3,1,1,1,0,1,1,MOUNTAIN VILLAGE HOMEOWNER'S ASSOC,CWS,GW,GW,40,17,other_water_systems
84,CA0400091,0,0,0,0,0,0,0,0,0,0,DEL ORO WATER COMPANY - BUZZTAIL DIST.,CWS,GW,GW,99,30,other_water_systems
85,CA0400117,0,0,0,0,0,0,0,0,0,0,FALLING ROCK RV PARK,CWS,GW,GW,50,21,other_water_systems
86,CA0400123,0,0,0,0,0,0,0,0,0,0,HUMBOLDT HIGHLANDS MUTUAL,CWS,GW,GW,58,28,other_water_systems
87,CA0400133,1,1,0,1,0,1,1,0,1,0,LUNDBERG FAMILY FARM,NTNCWS,GW,GW,240,8,other_water_systems
88,CA0400140,0,0,0,2,0,0,0,0,1,0,DURHAM DAYTON INDUSTRIAL PARTNERS-PRO PA,NTNCWS,GW,GW,102,3,other_water_systems
89,CA0400149,1,1,0,1,0,1,1,0,1,0,HUMBOLDT WOODLANDS MUTUAL,CWS,GW,GW,55,31,other_water_systems
90,CA0400150,0,0,0,0,0,0,0,0,0,0,SUNSET MOULDING CHICO,NTNCWS,GW,GW,41,2,other_water_systems
91,CA0400151,0,0,0,0,0,0,0,0,0,0,KEEFER CREEK ESTATES,CWS,GW,GW,160,55,other_water_systems
92,CA0400154,1,1,0,1,0,1,1,0,1,0,TRUROOTS,NTNCWS,GW,GW,85,2,other_water_systems
93,CA0400155,1,1,0,4,3,1,1,0,1,1,BIGGERS GLEN MUTUAL WATER CO,CWS,GW,GW,25,18,other_water_systems
94,CA0400158,1,1,0,8,2,1,1,0,1,1,FRANCIS PROPERTY MANAGEMENT,NTNCWS,GW,GW,51,22,other_water_systems
95,CA0400162,3,3,2,5,4,1,1,1,1,1,PLEASANT VALLEY BAPTIST CHURCH,NTNCWS,GW,GW,600,3,other_water_systems
96,CA0405001,0,0,0,0,0,0,0,0,0,0,DEL ORO WATER CO.-LIME SADDLE MARINA,CWS,SW,SW,888,269,other_water_systems
97,CA0405003,1,1,0,9,6,1,1,0,1,1,SILVER DOLLAR FAIRGROUNDS,NTNCWS,GW,GW,195,1,other_water_systems
98,CA0409177,0,0,0,1,0,0,0,0,1,0,G & J PROPERTIES,NTNCWS,GW,GW,130,8,other_water_systems
99,CA0409181,0,0,0,0,0,0,0,0,0,0,BLUE OAK TERRACE MUTUAL,CWS,GW,GW,81,30,other_water_systems
100,CA0409183,1,1,0,2,1,1,1,0,1,1,SIERRA MOON WATER COMPANY,CWS,GW,GW,120,86,other_water_systems
101,CA0409187,1,1,1,0,0,1,1,1,0,0,PG&E - TABLE MOUNTAIN,NTNCWS,GW,GW,25,1,other_water_systems
102,CA0409188,0,0,0,0,0,0,0,0,0,0,"FEDEX FREIGHT, INC. CHI",NTNCWS,GW,GW,37,1,other_water_systems
103,CA0409189,1,1,0,2,1,1,1,0,1,1,DAUTERMAN WELL,NTNCWS,GW,GW,100,3,other_water_systems
104,CA0409194,0,0,0,2,0,0,0,0,1,0,FEDEX GROUND,NTNCWS,GW,GW,180,2,other_water_systems
105,CA0409197,0,0,0,0,0,0,0,0,0,0,SIERRA NEVADA BREWING CO.,NTNCWS,GW,GW,350,3,other_water_systems
106,CA0410001,1,1,0,5,4,1,1,0,1,1,CITY OF BIGGS,CWS,GW,GW,2060,800,other_water_systems
107,CA0410002,0,0,0,0,0,0,0,0,0,0,CAL-WATER SERVICE CO.-CHICO,CWS,GW,GW,111831,30239,other_water_systems
108,CA0410003,0,0,0,1,1,0,0,0,1,1,DURHAM IRRIGATION DISTRICT,CWS,GW,GW,1581,479,other_water_systems
109,CA0410004,1,1,0,4,3,1,1,0,1,1,CITY OF GRIDLEY,CWS,GW,GW,7444,2282,other_water_systems
110,CA0410005,0,0,0,1,1,0,0,0,1,1,CAL-WATER SERVICE CO.-OROVILLE,CWS,SW,SW,11045,3553,other_water_systems
111,CA0410006,0,0,0,0,0,0,0,0,0,0,SOUTH FEATHER W&P - MINERS RANCH,CWS,SW,SW,22664,6868,other_water_systems
112,CA0410007,0,0,0,0,0,0,0,0,0,0,PARADISE IRRIGATION DISTRICT,CWS,SW,SW,9142,9368,other_water_systems
113,CA0410008,1,1,1,4,4,1,1,1,1,1,THERMALITO WATER & SEWER DIST,CWS,SW,SW,12136,3141,carceral_serving_water_system
114,CA0410009,0,0,0,1,1,0,0,0,1,1,DEL ORO WATER CO.-MAGALIA,CWS,GW,GW,350,106,other_water_systems
115,CA0410011,0,0,0,0,0,0,0,0,0,0,DEL ORO WATER CO.-PARADISE PINES,CWS,SW,SWP,10900,3300,other_water_systems
116,CA0410012,0,0,0,0,0,0,0,0,0,0,SOUTH FEATHER W&P - BANGOR,CWS,SW,SW,73,22,other_water_systems
117,CA0410018,0,0,0,0,0,0,0,0,0,0,DEL ORO WATER CO.-STIRLING BLUFFS,CWS,SW,SW,501,152,other_water_systems
118,CA0500009,0,0,0,0,0,0,0,0,0,0,UNITED PARCEL SERVICE,NTNCWS,GW,GW,75,1,other_water_systems
119,CA0500019,1,1,0,1,0,1,1,0,1,0,MINERAL MOUNTAIN MUTUAL WATER,CWS,GW,GW,67,34,other_water_systems
120,CA0500027,1,1,0,3,2,1,1,0,1,1,LILI VALLEY WATER CO.,CWS,GW,GW,99,70,other_water_systems
121,CA0500039,0,0,0,0,0,0,0,0,0,0,TOYON PARK WATER SYSTEM LLC,NTNCWS,GW,GW,150,11,other_water_systems
122,CA0500053,0,0,0,0,0,0,0,0,0,0,PARDEE CENTER,NTNCWS,SW,SW,50,13,other_water_systems
123,CA0500068,0,0,0,0,0,0,0,0,0,0,DUNROVIN MOBILE HOME VILLAGE,CWS,GW,GW,99,37,other_water_systems
124,CA0500075,0,0,0,0,0,0,0,0,0,0,LAKESIDE MOBILE ESTATES,CWS,GW,GW,30,24,other_water_systems
125,CA0500082,1,1,0,1,0,1,1,0,1,0,ANGELS CAMP RV/CAMPING RESORT,CWS,GW,GW,288,102,other_water_systems
126,CA0500085,1,1,0,1,0,1,1,0,1,0,TOYON MIDDLE SCHOOL,NTNCWS,GW,GW,200,1,other_water_systems
127,CA0500091,1,1,0,2,0,1,1,0,1,0,RITE OF PASSAGE/SIERRA RIDGE,CWS,SW,SW,150,13,other_water_systems
128,CA0500095,0,0,0,0,0,0,0,0,0,0,VINE & BRANCH FELLOWSHIP,NTNCWS,GW,GW,85,3,other_water_systems
129,CA0500097,0,0,0,0,0,0,0,0,0,0,CUSD DISTRICT OFFICE,NTNCWS,GW,GW,100,2,other_water_systems
130,CA0510001,5,5,5,0,0,1,1,1,0,0,UNION PUBLIC UTILITY DISTRICT,CWS,SW,SW,4774,1735,carceral_serving_water_system
131,CA0510002,0,0,0,0,0,0,0,0,0,0,CALAVERAS PUD,CWS,SW,SW,6286,1956,other_water_systems
132,CA0510003,1,1,0,1,0,1,1,0,1,0,"ANGELS, CITY OF",CWS,SW,SW,3836,2000,other_water_systems
133,CA0510004,0,0,0,0,0,0,0,0,0,0,CCWD - SHEEP RANCH,CWS,SW,SW,89,49,other_water_systems
134,CA0510005,0,0,0,0,0,0,0,0,0,0,CCWD - WEST POINT,CWS,SW,SW,1043,576,other_water_systems
135,CA0510006,0,0,0,0,0,0,0,0,0,0,CCWD - JENNY LIND,CWS,SW,SW,9861,3884,other_water_systems
136,CA0510009,0,0,0,1,0,0,0,0,1,0,BLUE LAKE SPRINGS MUT WTR,CWS,SW,SWP,4801,1726,other_water_systems
137,CA0510010,0,0,0,0,0,0,0,0,0,0,VALLEY SPRINGS PUD,CWS,GW,GW,900,263,other_water_systems
138,CA0510011,0,0,0,0,0,0,0,0,0,0,SNOWSHOE SPRINGS ASSN.,CWS,SW,SWP,361,298,other_water_systems
139,CA0510012,0,0,0,0,0,0,0,0,0,0,CAMANCHE SOUTH SHORE-EBMUD,CWS,SW,SW,837,448,other_water_systems
140,CA0510016,4,4,4,0,0,1,1,1,0,0,CCWD - EBBETTS PASS,CWS,SW,SW,11545,6010,other_water_systems
141,CA0510017,0,0,0,0,0,0,0,0,0,0,CCWD - COPPER COVE,CWS,SW,SW,5187,2759,other_water_systems
142,CA0510019,0,0,0,0,0,0,0,0,0,0,CCWD - WALLACE,CWS,GW,GW,255,108,other_water_systems
143,CA0600005,0,0,0,4,4,0,0,0,1,1,COLUSA CO. SERVICE AREA #2-STONYFORD,CWS,GW,GW,250,63,other_water_systems
144,CA0600008,20,20,20,3,3,1,1,1,1,1,COLUSA CO. WWD #1 - GRIMES,CWS,GW,GW,305,123,other_water_systems
145,CA0600012,0,0,0,4,4,0,0,0,1,1,COLUSA CO. SERVICE AREA #1-CENTURY RANCH,CWS,SW,SW,246,88,other_water_systems
146,CA0600013,0,0,0,3,3,0,0,0,1,1,COLUSA CO. WWD #2 - PRINCETON,CWS,GW,GW,382,120,other_water_systems
147,CA0600065,0,0,0,4,4,0,0,0,1,1,COLUSA INDUSTRIAL PROPERTIES,NTNCWS,GW,GW,556,40,other_water_systems
148,CA0605002,0,0,0,6,6,0,0,0,1,1,MORNING STAR PKG. CO.-WMS.,NTNCWS,GW,GW,390,5,other_water_systems
149,CA0605004,0,0,0,0,0,0,0,0,0,0,ADM RICE INC.,NTNCWS,GW,GW,84,1,other_water_systems
150,CA0605007,0,0,0,0,0,0,0,0,0,0,SUN VALLEY RICE COMPANY,NTNCWS,GW,GW,151,1,other_water_systems
151,CA0605011,0,0,0,0,0,0,0,0,0,0,DEL ORO WC - ARBUCKLE DISTRICT,CWS,GW,GW,185,56,other_water_systems
152,CA0605012,0,0,0,0,0,0,0,0,0,0,ADAM'S VEGETABLE OILS,NTNCWS,GW,GW,95,1,other_water_systems
153,CA0610001,0,0,0,1,1,0,0,0,1,1,ARBUCKLE PUBLIC UTILITY DISTRICT,CWS,GW,GW,2778,1027,other_water_systems
154,CA0610002,0,0,0,2,2,0,0,0,1,1,CITY OF COLUSA,CWS,GW,GW,6428,2258,carceral_serving_water_system
155,CA0610003,0,0,0,0,0,0,0,0,0,0,MAXWELL PUBLIC UTILITY DISTRICT,CWS,GW,GW,1175,393,other_water_systems
156,CA0610004,0,0,0,0,0,0,0,0,0,0,CITY OF WILLIAMS,CWS,GW,GW,5538,1526,other_water_systems
157,CA0706004,14,14,13,1,0,1,1,1,1,0,OAKLEY MUTUAL WATER COMPANY,CWS,GW,GW,170,50,other_water_systems
158,CA0706005,0,0,0,2,0,0,0,0,1,0,FARRAR PARK PROPERTY OWNERS,CWS,GW,GW,140,70,other_water_systems
159,CA0706028,0,0,0,0,0,0,0,0,0,0,KNIGHTSEN ELEMENTARY SCHOOL,NTNCWS,GW,GW,350,4,other_water_systems
160,CA0706029,0,0,0,0,0,0,0,0,0,0,EXCELSIOR MIDDLE SCHOOL,NTNCWS,GW,GW,600,2,other_water_systems
161,CA0706050,0,0,0,1,1,0,0,0,1,1,WILLOW PASS BUSSINESS PARK WATER SYSTEM,NTNCWS,GW,GW,60,61,other_water_systems
162,CA0706102,0,0,0,1,1,0,0,0,1,1,BAY STANDARDS,NTNCWS,GW,GW,41,6,other_water_systems
163,CA0707501,0,0,0,1,1,0,0,0,1,1,ANGLER S RANCH #3,CWS,GW,GW,60,32,other_water_systems
164,CA0707507,16,16,16,0,0,1,1,1,0,0,WILLOW PARK MARINA,CWS,GW,GW,380,166,other_water_systems
165,CA0707517,1,1,0,2,1,1,1,0,1,1,COLONIA SANTA MARIA,CWS,GW,GW,32,10,other_water_systems
166,CA0707519,0,0,0,1,1,0,0,0,1,1,DUTCH SLOUGH WATER WORKS,CWS,GW,GW,49,17,other_water_systems
167,CA0707523,0,0,0,0,0,0,0,0,0,0,BETHEL ISLAND ESTATES,CWS,GW,GW,200,62,other_water_systems
168,CA0707545,1,1,0,2,1,1,1,0,1,1,ORWOOD RESORT,CWS,GW,GW,350,11,other_water_systems
169,CA0707547,0,0,0,0,0,0,0,0,0,0,KNIGHTSEN COMMUNITY WATER SYSTEM,CWS,GW,GW,73,22,other_water_systems
170,CA0707553,0,0,0,1,1,0,0,0,1,1,RIVERVIEW MOBILE HOMES,CWS,GW,GW,126,45,other_water_systems
171,CA0707556,1,1,0,2,1,1,1,0,1,1,SANDMOUND MUTUAL,CWS,GW,GW,100,110,other_water_systems
172,CA0707569,0,0,0,0,0,0,0,0,0,0,ANGLERS SUBDIVISION 4,CWS,GW,GW,99,99,other_water_systems
173,CA0707572,0,0,0,0,0,0,0,0,0,0,BETHEL ISLAND MUTUAL WATER CO,CWS,GW,GW,123,43,other_water_systems
174,CA0707573,17,17,17,0,0,1,1,1,0,0,DELTA MUTUAL WATER COMPANY,CWS,GW,GW,333,119,other_water_systems
175,CA0707575,0,0,0,0,0,0,0,0,0,0,BETHEL ISLAND MHC,CWS,GW,GW,185,65,other_water_systems
176,CA0707576,0,0,0,0,0,0,0,0,0,0,PLEASANTIMES MUTUAL WATER CO,CWS,GW,GW,644,195,other_water_systems
177,CA0707577,0,0,0,1,1,0,0,0,1,1,RIVERVIEW WATER ASSOCIATION,CWS,GW,GW,230,89,other_water_systems
178,CA0707585,0,0,0,0,0,0,0,0,0,0,MORAGA HEIGHTS MUTUAL WATER,CWS,GW,GW,66,20,other_water_systems
179,CA0707588,0,0,0,0,0,0,0,0,0,0,BIG OAK MOBILE HOME PARK WATER,CWS,GW,GW,156,66,other_water_systems
180,CA0707589,13,13,12,1,0,1,1,1,1,0,BELLA VISTA WATER SYS,CWS,GW,GW,93,33,other_water_systems
181,CA0707594,0,0,0,0,0,0,0,0,0,0,CASA MEDANOS WATER SYSTEM,CWS,GW,GW,45,16,other_water_systems
182,CA0707597,1,1,0,2,1,1,1,0,1,1,SANDY POINT MOBILE HOME PARK,CWS,GW,GW,67,24,other_water_systems
183,CA0707598,0,0,0,0,0,0,0,0,0,0,CAMINO MOBILEHOME,CWS,GW,GW,210,75,other_water_systems
184,CA0707601,1,1,0,2,1,1,1,0,1,1,RUSSOS MOBILE PARK,CWS,GW,GW,110,20,other_water_systems
185,CA0707603,0,0,0,0,0,0,0,0,0,0,CLAYTON PALMS WATER,CWS,SW,SWP,549,202,other_water_systems
186,CA0707608,0,0,0,0,0,0,0,0,0,0,MARINA MOBILE MANOR,CWS,GW,GW,75,24,other_water_systems
187,CA0707613,0,0,0,0,0,0,0,0,0,0,WILLOW MOBILE HOME PARK,CWS,GW,GW,481,172,other_water_systems
188,CA0707615,0,0,0,0,0,0,0,0,0,0,DOUBLETREE RANCH WATER SYSTEM,CWS,GW,GW,132,20,other_water_systems
189,CA0707620,1,1,0,1,0,1,1,0,1,0,CANYON SCHOOL,NTNCWS,GW,GW,238,1,other_water_systems
190,CA0707623,0,0,0,1,1,0,0,0,1,1,WILCOX STATION RANCH,CWS,GW,GW,31,19,other_water_systems
191,CA0707625,0,0,0,0,0,0,0,0,0,0,MARATHON MARTINEZ WATER SYSTEM,NTNCWS,GW,GW,600,46,other_water_systems
192,CA0710001,0,0,0,0,0,0,0,0,0,0,CITY OF ANTIOCH,CWS,SW,SW,115074,33597,other_water_systems
193,CA0710002,0,0,0,0,0,0,0,0,0,0,GOLDEN STATE WATER COMPANY - BAY POINT,CWS,SW,SWP,23731,5073,other_water_systems
194,CA0710003,0,0,0,0,0,0,0,0,0,0,CONTRA COSTA WATER DISTRICT,CWS,SW,SW,198000,60730,carceral_serving_water_system
195,CA0710004,0,0,0,0,0,0,0,0,0,0,BRENTWOOD,CWS,SW,SWP,64513,21441,other_water_systems
196,CA0710006,0,0,0,2,2,0,0,0,1,1,CITY OF MARTINEZ,CWS,SW,SWP,30997,10230,carceral_serving_water_system
197,CA0710007,3,1,0,1,0,1,1,0,1,0,DIABLO WATER DISTRICT,CWS,SW,SWP,43357,13617,other_water_systems
198,CA0710008,0,0,0,0,0,0,0,0,0,0,CITY OF PITTSBURG,CWS,SW,SWP,62500,19534,other_water_systems
199,CA0710009,0,0,0,0,0,0,0,0,0,0,TOWN OF DISCOVERY BAY,CWS,GW,GW,16790,6163,other_water_systems
